          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      1677.834073635     3         C1         729913       727913      1      1
      1677.834809778     3         C3         590073      -109927      1      0
      1677.841745421     3         C3        3057844      2357844      0      -
      1677.844806095     3         C3        2050680      1350680      0      -
      1677.846868855     3         C3        1267306       567306      0      -
      1677.848138591     3         C3        3332245      2632245      0      -
      1677.851493006     3         C3        2567412      1867412      0      -
      1677.854070819     3         C2         732493       696493      1      1
      1677.854806492     3         C3         864054       164054      0      -
      1677.855677956     3         C3        2458432      1758432      0      -
      1677.858140108     3         C2         653433       617433      0      -
      1677.858800181     3         C3        2477321      1777321      0      -
      1677.861287212     3         C2         182921       146921      0      -
      1677.861474203     3         C3        3329136      2629136      0      -
      1677.864806769     3         C3        1229826       529826      0      -
      1677.866044465     3         C3        1867778      1167778      0      -
      1677.867921393     3         C2         215291       179291      0      -
      1677.868153454     3         C3        2674573      1974573      0      -
      1677.870837027     3         C2         633083       597083      0      -
      1677.871473910     3         C3        2910184      2210184      0      -
      1677.874390424     3         C2         413022       377022      0      -
      1677.874805706     3         C3        3330855      2630855      0      -
      1677.878142931     3         C3        1744098      1044098      0      -
      1677.879896809     3         C3        1572998       872998      0      -
      1677.881472167     3         C3        1498927       798927      0      -
      1677.882977784     3         C3        1738428      1038428      0      -
      1677.884730002     3         C3        4580401      3880401      0      -
      1677.889321974     3         C3        2148180      1448180      0      -
      1677.891473674     3         C3        1604787       904787      0      -
      1677.893087711     3         C3        1549267       849267      0      -
      1677.894643288     3         C2         159801       123801      0      -
      1677.894806179     3         C3        5343325      4643325      0      -
      1677.900161484     3         C3        5942118      5242118      0      -
      1677.906111492     3         C3        4908193      4208193      0      -
      1677.911031305     3         C3        5458426      4758426      0      -
      1677.916500121     3         C3        1636257       936257      0      -
      1677.918138968     3         C2         268692       232692      0      -
      1677.918414750     3         C3        4426100      3726100      0      -
      1677.922848760     3         C3        5439986      4739986      0      -
      1677.928300486     3         C3        4149659      3449659      0      -
      1677.932460935     3         C3        2342321      1642321      0      -
      1677.934806736     3         C2         533583       497583      0      -
      1677.935349369     3         C2         650793       614793      0      -
      1677.936006192     3         C3        2130350      1430350      0      -
      1677.938138902     3         C2         520352       484352      0      -
      1677.938665684     3         C3        2804244      2104244      0      -
      1677.941472348     3         C3         906214       206214      0      -
      1677.942390832     3         C3        5520016      4820016      0      -
      1677.947922208     3         C3        5845127      5145127      0      -
      1677.953778055     3         C3        1025585       325585      0      -
      1677.954805940     3         C3        1880369      1180369      0      -
      1677.956693239     3         C3        5238884      4538884      0      -
      1677.961939633     3         C3        1610548       910548      0      -
      1677.963557151     3         C3        4877493      4177493      0      -
      1677.968445124     3         C3        3024944      2324944      0      -
      1677.971473598     3         C2         310881       274881      0      -
      1677.971793320     3         C2         132140        96140      0      -
      1677.971931980     3         C3        4365501      3665501      0      -
      1677.976308331     3         C3        1828528      1128528      0      -
      1677.978140149     3         C2         607893       571893      0      -
      1677.978757912     3         C3        4995164      4295164      0      -
      1677.983764606     3         C3        4054909      3354909      0      -
      1677.987829585     3         C2          53820        17820      0      -
      1677.987891785     3         C2         245231       209231      0      -
      1677.988140366     3         C3        2759483      2059483      0      -
      1677.990910259     3         C3        5251165      4551165      0      -
      1677.996172264     3         C3        1510087       810087      0      -
      1677.997688531     3         C2         448482       412482      0      -
      1677.998140473     3         C3        1546977       846977      0      -
      1677.999694460     3         C3        5269585      4569585      0      -
      1678.004971435     3         C3        1193805       493805      0      -
      1678.006171550     3         C3        1965430      1265430      0      -
      1678.008140400     3         C3        1483767       783767      0      -
      1678.009630457     3         C3        1479367       779367      0      -
      1678.011116904     3         C3        5852197      5152197      0      -
      1678.016980861     3         C3        4864533      4164533      0      -
      1678.021862514     3         C3        2727603      2027603      0      -
      1678.024596737     3         C2         207101       171101      0      -
      1678.024807548     3         C2         319651       283651      0      -
      1678.025136079     3         C3        1966569      1266569      0      -
      1678.027109188     3         C3        1027745       327745      0      -
      1678.028139193     3         C3        2065410      1365410      0      -
      1678.030214453     3         C3        5642806      4942806      0      -
      1678.035867829     3         C2         700834       664834      0      -
      1678.036578023     3         C3        1558917       858917      0      -
      1678.038139360     3         C3        1792698      1092698      0      -
      1678.039939078     3         C3        4286731      3586731      0      -
      1678.044236119     3         C2         567662       531662      0      -
      1678.044806201     3         C3        2761293      2061293      0      -
      1678.047581684     3         C3        4931593      4231593      0      -
      1678.052520277     3         C3        2283541      1583541      0      -
      1678.054807438     3         C3        1002535       302535      0      -
      1678.055817083     3         C3        5830667      5130667      0      -
      1678.061661230     3         C3        3142635      2442635      0      -
      1678.064807375     3         C2         519312       483312      0      -
      1678.065336807     3         C3        2800713      2100713      0      -
      1678.068141350     3         C2         768074       732074      1      1
      1678.068920254     3         C3        2550142      1850142      0      -
      1678.071474716     3         C2         162611       126611      0      -
      1678.071647777     3         C3        3155965      2455965      0      -
      1678.074808142     3         C2         463962       427962      0      -
      1678.075282714     3         C3        2355861      1655861      0      -
      1678.077648155     3         C2         489332       453332      0      -
      1678.078141257     3         C3        3007674      2307674      0      -
      1678.081159421     3         C2         311432       275432      0      -
      1678.081474353     3         C3        1473557       773557      0      -
      1678.082957040     3         C3        1183195       483195      0      -
      1678.084146435     3         C2         657503       621503      0      -
      1678.084806418     3         C2         508213       472213      0      -
      1678.085320561     3         C3        2816513      2116513      0      -
      1678.088139624     3         C3         905534       205534      0      -
      1678.089051728     3         C3        2418642      1718642      0      -
      1678.091473270     3         C3        1566147       866147      0      -
      1678.093048887     3         C3        1754928      1054928      0      -
      1678.094807535     3         C3        1146906       446906      0      -
      1678.095960641     3         C2         586612       550612      0      -
      1678.096553983     3         C3        4592472      3892472      0      -
      1678.101155005     3         C3        5307365      4607365      0      -
      1678.106470150     3         C3        5587106      4887106      0      -
      1678.112065426     3         C3        5102114      4402114      0      -
      1678.117179340     3         C3        5434585      4734585      0      -
      1678.122622115     3         C3        5585187      4885187      0      -
      1678.128217892     3         C3        3462366      2762366      0      -
      1678.131703638     3         C3        2391631      1691631      0      -
      1678.134107729     3         C3        4276970      3576970      0      -
      1678.138403119     3         C3        1700118      1000118      0      -
      1678.140111077     3         C3        4917093      4217093      0      -
      1678.145045810     3         C3        5149085      4449085      0      -
      1678.150219005     3         C3        5418145      4718145      0      -
      1678.155656340     3         C3        2481612      1781612      0      -
      1678.158142622     3         C3        1096915       396915      0      -
      1678.159250497     3         C3        5744657      5044657      0      -
      1678.165004474     3         C3        3132544      2432544      0      -
      1678.168140629     3         C2         389341       353341      0      -
      1678.168539420     3         C3        2750033      2050033      0      -
      1678.171299733     3         C3        4007169      3307169      0      -
      1678.175318492     3         C3        6023868      5323868      0      -
      1678.181354200     3         C3        5548406      4848406      0      -
      1678.186915096     3         C3        4813443      4113443      0      -
      1678.191750849     3         C2         545093       509093      0      -
      1678.192318052     3         C3        3718997      3018997      0      -
      1678.196061689     3         C3        2082760      1382760      0      -
      1678.198149709     3         C3         880564       180564      0      -
      1678.199047623     3         C3        2430522      1730522      0      -
      1678.201485505     3         C3        1392806       692806      0      -
      1678.202893851     3         C3        5120074      4420074      0      -
      1678.208029595     3         C2         113521        77521      0      -
      1678.208148336     3         C3        1390726       690726      0      -
      1678.209554812     3         C3        4440191      3740191      0      -
      1678.214017333     3         C2         753044       717044      1      1
      1678.214791767     3         C1          12150        10150      0      -
      1678.214809047     3         C3        1354286       654286      0      -
      1678.216179023     3         C3        4819053      4119053      0      -
      1678.221020346     3         C2         664103       628103      0      -
      1678.221691749     3         C3        1372697       672697      0      -
