          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      1722.073457432     3         C1         895375       893375      1      1
      1722.080767807     3         C2         959324       923324      1      1
      1722.081732711     3         C3        3145305      2445305      0      -
      1722.084884856     3         C3         999525       299525      0      -
      1722.085899061     3         C3        2482981      1782981      0      -
      1722.088399762     3         C3        2099520      1399520      0      -
      1722.090520312     3         C3        1022915       322915      0      -
      1722.091548367     3         C3        1544297       844297      0      -
      1722.093107474     3         C3        1606788       906788      0      -
      1722.094735332     3         C2         143121       107121      0      -
      1722.094885483     3         C3        2968364      2268364      0      -
      1722.097874527     3         C2         337721       301721      0      -
      1722.098228258     3         C3        2126800      1426800      0      -
      1722.100377488     3         C3        4751663      4051663      0      -
      1722.105159491     3         C3        1863068      1163068      0      -
      1722.107043690     3         C3        1166985       466985      0      -
      1722.108215585     3         C3        1735908      1035908      0      -
      1722.109966083     3         C3        1571588       871588      0      -
      1722.111541461     3         C3        1975779      1275779      0      -
      1722.113532800     3         C3        5500016      4800016      0      -
      1722.119055516     3         C3        2648402      1948402      0      -
      1722.121711228     3         C2         423042       387042      0      -
      1722.122155390     3         C3        1740938      1040938      0      -
      1722.123918509     3         C3        4583791      3883791      0      -
      1722.128524900     3         C3        3019854      2319854      0      -
      1722.131551734     3         C2         734524       698524      1      1
      1722.132308168     3         C3        1551837       851837      0      -
      1722.133875425     3         C3        5736237      5036237      0      -
      1722.139674522     3         C3        5938368      5238368      0      -
      1722.145649250     3         C3        4913683      4213683      0      -
      1722.150606463     3         C3        5459566      4759566      0      -
      1722.156088709     3         C3        1911249      1211249      0      -
      1722.158022108     3         C3        4427831      3727831      0      -
      1722.162474639     3         C3        5442055      4742055      0      -
      1722.167940495     3         C3        4152649      3452649      0      -
      1722.172115584     3         C3        2887194      2187194      0      -
      1722.175026128     3         C2         654823       618823      0      -
      1722.175701971     3         C3        2509882      1809882      0      -
      1722.178219033     3         C2         138690       102690      0      -
      1722.178379263     3         C3        3165725      2465725      0      -
      1722.181552138     3         C2         543153       507153      0      -
      1722.182117801     3         C3        5837567      5137567      0      -
      1722.187979228     3         C3        5849098      5149098      0      -
      1722.193850996     3         C3        1025285       325285      0      -
      1722.194881371     3         C3        1882248      1182248      0      -
      1722.196785770     3         C3        5234124      4534124      0      -
      1722.202037674     3         C3        1613468       913468      0      -
      1722.203666902     3         C3        4875123      4175123      0      -
      1722.208558255     3         C3        2979064      2279064      0      -
      1722.211540249     3         C2         355921       319921      0      -
      1722.211906990     3         C2         130741        94741      0      -
      1722.212047971     3         C3        4363330      3663330      0      -
      1722.216419141     3         C3        1785329      1085329      0      -
      1722.218208350     3         C2         651483       615483      0      -
      1722.218867223     3         C3        4995773      4295773      0      -
      1722.223874076     3         C3        4054879      3354879      0      -
      1722.227936575     3         C2          54581        18581      0      -
      1722.227997026     3         C2         207031       171031      0      -
      1722.228206837     3         C3        2799823      2099823      0      -
      1722.231017380     3         C3        5250924      4550924      0      -
      1722.236275364     3         C3        1511457       811457      0      -
      1722.237795712     3         C2         408481       372481      0      -
      1722.238208033     3         C3        1585548       885548      0      -
      1722.239800691     3         C3        5269785      4569785      0      -
      1722.245080836     3         C3        1192685       492685      0      -
      1722.246279781     3         C3        1924519      1224519      0      -
      1722.248206520     3         C3        1525937       825937      0      -
      1722.249742557     3         C3        1477997       777997      0      -
      1722.251227564     3         C3        5852028      5152028      0      -
      1722.257087522     3         C3        4865733      4165733      0      -
      1722.261960475     3         C3        2735722      2035722      0      -
      1722.264705077     3         C2         165851       129851      0      -
      1722.264874348     3         C2         360142       324142      0      -
      1722.265243330     3         C3        1966559      1266559      0      -
      1722.267218989     3         C3         985365       285365      0      -
      1722.268206644     3         C3        2106410      1406410      0      -
      1722.270322854     3         C3        5642716      4942716      0      -
      1722.275972940     3         C2         702363       666363      0      -
      1722.276681124     3         C3        1522907       822907      0      -
      1722.278206271     3         C3        1830548      1130548      0      -
      1722.280046909     3         C3        4285390      3585390      0      -
      1722.284342879     3         C2         527783       491783      0      -
      1722.284873162     3         C3        2801303      2101303      0      -
      1722.287684235     3         C3        4932423      4232423      0      -
      1722.292627398     3         C3        2243711      1543711      0      -
      1722.294874039     3         C3        1041645       341645      0      -
      1722.295923474     3         C3        5829747      5129747      0      -
      1722.301763611     3         C3        3107474      2407474      0      -
      1722.304874715     3         C2         554663       518663      0      -
      1722.305438948     3         C3        2765013      2065013      0      -
      1722.308207051     3         C3         804244       104244      0      -
      1722.309017605     3         C3        2520212      1820212      0      -
      1722.311541357     3         C2         194391       158391      0      -
      1722.311744828     3         C3        3125964      2425964      0      -
      1722.314873292     3         C2         495993       459993      0      -
      1722.315375965     3         C3        2356761      1656761      0      -
      1722.317741636     3         C2         463022       427022      0      -
      1722.318208068     3         C3        3033934      2333934      0      -
      1722.321251152     3         C2         286671       250671      0      -
      1722.321540853     3         C3        1499177       799177      0      -
      1722.323046181     3         C3        1184275       484275      0      -
      1722.324236526     3         C2         634223       598223      0      -
      1722.324873479     3         C2         531733       495733      0      -
      1722.325411522     3         C3        2792573      2092573      0      -
      1722.328207595     3         C3         928304       228304      0      -
      1722.329142159     3         C3        2395631      1695631      0      -
      1722.331541240     3         C3        1588868       888868      0      -
      1722.333136718     3         C3        1734288      1034288      0      -
      1722.334874266     3         C3        1169685       469685      0      -
      1722.336050431     3         C2         586513       550513      0      -
      1722.336643414     3         C3        4592612      3892612      0      -
      1722.341246826     3         C3        5306195      4606195      0      -
      1722.346564561     3         C3        5585766      4885766      0      -
      1722.352161527     3         C3        5100364      4400364      0      -
      1722.357269731     3         C3        5436145      4736145      0      -
      1722.362716736     3         C3        5584406      4884406      0      -
      1722.368308272     3         C3        3229005      2529005      0      -
      1722.371540437     3         C2          59351        23351      0      -
      1722.371609048     3         C3        2394171      1694171      0      -
      1722.374013159     3         C3        4277690      3577690      0      -
      1722.378301869     3         C3        1700368      1000368      0      -
      1722.380012287     3         C3        4915973      4215973      0      -
      1722.384940870     3         C3        5148384      4448384      0      -
      1722.390105354     3         C3        5422386      4722386      0      -
      1722.395550440     3         C3        2730783      2030783      0      -
      1722.398287513     3         C3         850574       150574      0      -
      1722.399153467     3         C3        5796867      5096867      0      -
      1722.404972934     3         C3        3238875      2538875      0      -
      1722.408217139     3         C2         285141       249141      0      -
      1722.408530141     3         C3        2745212      2045212      0      -
      1722.411290754     3         C3        4013288      3313288      0      -
      1722.415327272     3         C3        6024839      5324839      0      -
      1722.421368361     3         C3        5551236      4851236      0      -
      1722.426959517     3         C3        4801602      4101602      0      -
      1722.431783989     3         C2         543053       507053      0      -
      1722.432342632     3         C3        3727798      3027798      0      -
      1722.436092760     3         C3        2118760      1418760      0      -
      1722.438219740     3         C3         840534       140534      0      -
      1722.439075884     3         C3        3830458      3130458      0      -
      1722.442922782     3         C3        5352555      4652555      0      -
      1722.448330487     3         C3        1510577       810577      0      -
      1722.449899654     3         C3        4430351      3730351      0      -
      1722.454365205     3         C2         586163       550163      0      -
      1722.454956308     3         C2         160961       124961      0      -
      1722.455131929     3         C3        1373226       673226      0      -
      1722.456520565     3         C3        4822493      4122493      0      -
      1722.461394698     3         C2         153711       117711      0      -
      1722.461561809     3         C3        1875539      1175539      0      -
      1722.463473358     3         C3        4959513      4259513      0      -
      1722.468487931     3         C2         654233       618233      0      -
      1722.469192765     3         C3         923424       223424      0      -
      1722.470152129     3         C3        4228910      3528910      0      -
      1722.474398049     3         C2         324151       288151      0      -
      1722.474740711     3         C2         130170        94170      0      -
