          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
       687.385973268     3         C1         689957       687957      1      1
       687.393246165     3         C3        5405886      4705886      0      -
       687.398705701     3         C3        4931348      4231348      0      -
       687.403693429     3         C3        2584068      1884068      0      -
       687.406325187     3         C3        1604733       904733      0      -
       687.407983779     3         C3        3136066      2436066      0      -
       687.411175125     3         C3        2493669      1793669      0      -
       687.413715984     3         C3        4982548      4282548      0      -
       687.418751431     3         C3        2085721      1385721      0      -
       687.420897252     3         C3        2926907      2226907      0      -
       687.423879068     3         C3        3563795      2863795      0      -
       687.427495412     3         C3        5735375      5035375      0      -
       687.433285036     3         C3        3089767      2389767      0      -
       687.436425842     3         C3        1738733      1038733      0      -
       687.438217564     3         C3        4599530      3899530      0      -
       687.442864084     3         C3        3772633      3072633      0      -
       687.446679437     3         C3        1553593       853593      0      -
       687.448274589     3         C3        5527766      4827766      0      -
       687.453856114     3         C3        5960584      5260584      0      -
       687.459869848     3         C3        5148027      4448027      0      -
       687.465073244     3         C3        5479406      4779406      0      -
       687.470608320     3         C3        1923871      1223871      0      -
       687.472584391     3         C3        4443090      3743090      0      -
       687.477081941     3         C3        5454315      4754315      0      -
       687.482585006     3         C3        4163432      3463432      0      -
       687.486791347     3         C3        2893667      2193667      0      -
       687.489727144     3         C2         654757       618757      0      -
       687.490423011     3         C3        2667118      1967118      0      -
       687.493131499     3         C3        3724903      3024903      0      -
       687.496905572     3         C3        5535465      4835465      0      -
       687.502494867     3         C3        5867254      5167254      0      -
       687.508416941     3         C3        2928737      2228737      0      -
       687.511401067     3         C3        5255137      4555137      0      -
       687.516708294     3         C3        1611112       911112      0      -
       687.518372446     3         C3        5121157      4421157      0      -
       687.523547443     3         C3        3356615      2656615      0      -
       687.526957208     3         C2         133969        97969      0      -
       687.527149767     3         C3        4754559      4054559      0      -
       687.531970735     3         C3        2663839      1963839      0      -
       687.534695543     3         C3        5228677      4528677      0      -
       687.539980250     3         C3        4076021      3376021      0      -
       687.544111171     3         C2          44330         8330      0      -
       687.544170071     3         C3        3032406      2332406      0      -
       687.547256327     3         C3        5252557      4552557      0      -
       687.552547064     3         C3        1505043       805043      0      -
       687.554065187     3         C3        2004931      1304931      0      -
       687.556081348     3         C3        5278726      4578726      0      -
       687.561371174     3         C3        1200195       500195      0      -
       687.562580799     3         C3        3459484      2759484      0      -
       687.566050753     3         C3        1477304       777304      0      -
       687.567539337     3         C3        5860853      5160853      0      -
       687.573411390     3         C3        4881499      4181499      0      -
       687.578307558     3         C3        2747148      2047148      0      -
       687.581076066     3         C2         531218       495218      0      -
       687.581622964     3         C3        2045850      1345850      0      -
       687.583684034     3         C3        3164576      2464576      0      -
       687.586863530     3         C3        5666375      4966375      0      -
       687.592576275     3         C2         704937       668937      0      -
       687.593334371     3         C3        3375615      2675615      0      -
       687.596764976     3         C3        4306101      3606101      0      -
       687.601126396     3         C3        3350436      2650436      0      -
       687.604532051     3         C3        4949348      4249348      0      -
       687.609527659     3         C3        3306435      2606435      0      -
       687.612882264     3         C3        5821324      5121324      0      -
       687.618755488     3         C3        3677563      2977563      0      -
       687.622472151     3         C3        3582874      2882874      0      -
       687.626076575     3         C3        2728828      2028828      0      -
       687.628826743     3         C3        3648753      2948753      0      -
       687.632530846     3         C3        2358870      1658870      0      -
       687.634949945     3         C3        3734724      3034724      0      -
       687.638736818     3         C3        1793282      1093282      0      -
       687.640590010     3         C3        1183785       483785      0      -
       687.641838265     3         C3        1159864       459864      0      -
       687.643050529     3         C3        3742503      3042503      0      -
       687.646846192     3         C3        4005962      3305962      0      -
       687.650907344     3         C3        2924127      2224127      0      -
       687.653883781     3         C2         587287       551287      0      -
       687.654523868     3         C3        4610209      3910209      0      -
       687.659185657     3         C3        5678625      4978625      0      -
