          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      4452.648374669     3         C3        1024426       324426      0      -
      4452.750296813     3         C2         712048       676048      0      -
      4452.751147111     3         C2         347398       311398      0      -
      4452.751499559     3         C3        3329150      2629150      0      -
      4452.754835659     3         C3        3664508      2964508      0      -
      4452.758515397     3         C3        3197190      2497190      0      -
      4452.761726717     3         C3        1155876       455876      0      -
      4452.763233392     3         C3        1593595       893595      0      -
      4452.764853797     3         C3        3311329      2611329      0      -
      4452.768178796     3         C3        1280556       580556      0      -
      4452.808299828     3         C3        2726011      2026011      0      -
      4452.811311239     3         C2         184119       148119      0      -
      4452.811504648     3         C3        2420952      1720952      0      -
      4452.834200205     3         C2         625938       589938      0      -
      4452.834830913     3         C3        3548459      2848459      0      -
      4452.838393892     3         C3        3319399      2619399      0      -
      4452.841735521     3         C3        3320050      2620050      0      -
      4452.845071751     3         C3        3307489      2607489      0      -
      4452.848394210     3         C3        3105980      2405980      0      -
      4452.851515450     3         C3        1938714      1238714      0      -
      4452.893282067     3         C3        1624355       924355      0      -
      4452.894911852     3         C3        3467249      2767249      0      -
      4452.898391861     3         C2         828677       792677      1      1
      4452.899559367     3         C3        1936304      1236304      0      -
      4452.901504811     3         C3        3543628      2843628      0      -
      4452.905062879     3         C3        3315470      2615470      0      -
      4452.908393319     3         C3        3106330      2406330      0      -
      4452.911517979     3         C3        3536848      2836848      0      -
      4452.915070047     3         C3        3096490      2396490      0      -
      4452.918181487     3         C3        3532149      2832149      0      -
      4452.921740996     3         C2         959957       923957      1      1
      4452.923037572     3         C3        1789154      1089154      0      -
      4452.924836106     3         C2         235959       199959      0      -
      4452.964852808     3         C3        3313580      2613580      0      -
      4452.968183218     3         C3        3528119      2828119      0      -
      4452.971726046     3         C3        3328620      2628620      0      -
      4452.975069046     3         C3        1334956       634956      0      -
      4453.016252534     3         C3        1906554      1206554      0      -
      4453.018166678     3         C3        3542629      2842629      0      -
      4453.021722357     3         C3        3128190      2428190      0      -
      4453.024863707     3         C3        2627281      1927281      0      -
      4453.027818257     3         C2         342129       306129      0      -
      4453.028168736     3         C3        3541029      2841029      0      -
      4453.031722295     3         C3        2870471      2170471      0      -
      4453.074556698     3         C2         268929       232929      0      -
      4453.074830967     3         C3        3549669      2849669      0      -
      4453.078399786     3         C3        2138203      1438203      0      -
