          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      2066.094462244     6         C3         875634       175634      0      -
      2066.101493226     6         C3         344132      -355868      1      0
      2066.101854288     6         C3         586013      -113987      1      0
      2066.102479061     6         C2        1098365      1062365      1      1
      2066.103584356     6         C3        3201865      2501865      0      -
      2066.106806491     6         C2         106961        70961      0      -
      2066.106922542     6         C3        3122374      2422374      0      -
      2066.110075837     6         C2         169730       133730      0      -
      2066.110254297     6         C3        1150186       450186      0      -
      2066.111418843     6         C3        1094825       394825      0      -
      2066.112533688     6         C2         487132       451132      0      -
      2066.113060301     6         C2         518142       482142      0      -
      2066.113583713     6         C2         410782       374782      0      -
      2066.114008845     6         C3        1605268       905268      0      -
      2066.115628013     6         C3        1283626       583626      0      -
      2066.116918639     6         C3        1828638      1128638      0      -
      2066.118764867     6         C3        1651668       951668      0      -
      2066.120422585     6         C2         822704       786704      1      1
      2066.121259659     6         C3        2102790      1402790      0      -
      2066.123386589     6         C2         195061       159061      0      -
      2066.123591160     6         C3         324141      -375859      1      0
      2066.123978692     6         C3        2035539      1335539      0      -
      2066.126028311     6         C2         949645       913645      1      1
      2066.126985436     6         C2         915014       879014      1      1
      2066.127914700     6         C3        2332491      1632491      0      -
      2066.130255911     6         C2         572503       536503      0      -
      2066.130848484     6         C3         364632      -335368      1      0
      2066.131234576     6         C3        2346311      1646311      0      -
      2066.133601007     6         C2         268771       232771      0      -
      2066.133897768     6         C2         491242       455242      0      -
      2066.134436541     6         C3        2477941      1777941      0      -
      2066.136924432     6         C3        3014784      2314784      0      -
      2066.139958866     6         C2         288372       252372      0      -
      2066.140253698     6         C3        3068044      2368044      0      -
      2066.143341592     6         C2         240571       204571      0      -
      2066.143600004     6         C3         898854       198854      0      -
      2066.144516488     6         C2         529092       493092      0      -
      2066.145093511     6         C3        1820218      1120218      0      -
      2066.146918709     6         C3        2763303      2063303      0      -
      2066.149702252     6         C2         614593       578593      0      -
      2066.150323825     6         C3        2208570      1508570      0      -
      2066.152562645     6         C3         899235       199235      0      -
      2066.153475910     6         C2         104800        68800      0      -
      2066.153585880     6         C3        1444497       744497      0      -
      2066.155046087     6         C3         314932      -385068      1      0
      2066.155388299     6         C3         479762      -220238      1      0
      2066.155933151     6         C3         981135       281135      0      -
      2066.156921146     6         C3        3400016      2700016      0      -
      2066.160330642     6         C2         226131       190131      0      -
      2066.160578933     6         C3        5436275      4736275      0      -
      2066.166041669     6         C2         483212       447212      0      -
      2066.166544621     6         C2          13730       -22270      1      0
      2066.166611361     6         C2         302192       266192      0      -
      2066.166922603     6         C3        3327135      2627135      0      -
      2066.170256148     6         C3        1199986       499986      0      -
      2066.171471424     6         C3        5208024      4508024      0      -
      2066.176705888     6         C2         211571       175571      0      -
      2066.176941530     6         C3         241431      -458569      1      0
      2066.177223581     6         C3        1628738       928738      0      -
      2066.178866409     6         C3        1551097       851097      0      -
      2066.180422276     6         C3        2877363      2177363      0      -
      2066.183326019     6         C3        3864499      3164499      0      -
      2066.187217968     6         C3         357081      -342919      1      0
      2066.187637760     6         C3        1128725       428725      0      -
      2066.188780635     6         C3        1636818       936818      0      -
      2066.190423273     6         C3        2514661      1814661      0      -
      2066.192958155     6         C2         626122       590122      0      -
      2066.193591357     6         C3        1771969      1071969      0      -
      2066.195392456     6         C2         450482       414482      0      -
      2066.195863118     6         C2         653803       617803      0      -
      2066.196530611     6         C2         385412       349412      0      -
      2066.196922353     6         C3         941964       241964      0      -
      2066.197886878     6         C3         486442      -213558      1      0
      2066.198413760     6         C2         773534       737534      1      1
      2066.199202204     6         C3        1047085       347085      0      -
      2066.200252969     6         C3        2668442      1968442      0      -
      2066.202941751     6         C2         643663       607663      0      -
      2066.203596454     6         C3        3321426      2621426      0      -
      2066.206925680     6         C3        1543957       843957      0      -
      2066.208484967     6         C3          30770      -669230      1      0
      2066.208535457     6         C3         519763      -180237      1      0
      2066.209096730     6         C3        1153385       453385      0      -
      2066.210256945     6         C3        3328066      2628066      0      -
      2066.213592191     6         C2         743254       707254      1      1
      2066.214350125     6         C3        2345781      1645781      0      -
      2066.216726266     6         C2         192281       156281      0      -
      2066.216928257     6         C2         335521       299521      0      -
      2066.217282438     6         C3        2110030      1410030      0      -
      2066.219420858     6         C3         479313      -220687      1      0
      2066.219971171     6         C2         279571       243571      0      -
      2066.220256212     6         C3        2437152      1737152      0      -
      2066.222713954     6         C3         870724       170724      0      -
      2066.223591868     6         C2         734783       698783      1      1
      2066.224342381     6         C3        2747673      2047673      0      -
      2066.227097294     6         C3        2127960      1427960      0      -
      2066.229245304     6         C3         774804        74804      0      -
      2066.230044368     6         C2         209001       173001      0      -
      2066.230262659     6         C3         473852      -226148      1      0
      2066.230795842     6         C3        1791328      1091328      0      -
      2066.232601090     6         C2         135731        99731      0      -
      2066.232750551     6         C3         904344       204344      0      -
      2066.233659865     6         C3        3260865      2560865      0      -
      2066.236929920     6         C2         192091       156091      0      -
      2066.237142081     6         C3         721664        21664      0      -
      2066.237895295     6         C3        1689798       989798      0      -
      2066.239601443     6         C2         650903       614903      0      -
      2066.240258426     6         C3         261331      -438669      1      0
      2066.240543247     6         C3         559983      -140017      1      0
      2066.241174190     6         C3        2413281      1713281      0      -
      2066.243599502     6         C3        1001884       301884      0      -
      2066.244615696     6         C3        1731128      1031128      0      -
      2066.246374075     6         C2         546122       510122      0      -
      2066.246928287     6         C3        1747808      1047808      0      -
      2066.248690145     6         C1          52711        50711      1      1
      2066.248750496     6         C3        1503907       803907      0      -
      2066.250264513     6         C3        1495717       795717      0      -
      2066.251771590     6         C3        1816438      1116438      0      -
      2066.253594308     6         C3        3326796      2626796      0      -
      2066.256931464     6         C2         100530        64530      0      -
      2066.257052385     6         C3        1513197       813197      0      -
      2066.258579722     6         C3        1673728       973728      0      -
      2066.260257660     6         C2         324561       288561      0      -
      2066.260597761     6         C3        5274515      4574515      0      -
      2066.265894236     6         C3        1027315       327315      0      -
      2066.266931171     6         C2         160251       124251      0      -
      2066.267105342     6         C3        3149934      2449934      0      -
      2066.270264386     6         C2         299472       263472      0      -
      2066.270589658     6         C3        1475297       775297      0      -
      2066.272085055     6         C3        1503517       803517      0      -
      2066.273602582     6         C3        3319826      2619826      0      -
      2066.276929618     6         C3        1010314       310314      0      -
      2066.277962082     6         C3        4866453      4166453      0      -
      2066.282843655     6         C3         744174        44174      0      -
      2066.283594169     6         C3        1988659      1288659      0      -
      2066.285596728     6         C2         534463       498463      0      -
      2066.286144931     6         C3         776853        76853      0      -
      2066.286926914     6         C3        1189916       489916      0      -
      2066.288130850     6         C3        2200910      1500910      0      -
      2066.290341610     6         C3         888444       188444      0      -
      2066.291245275     6         C3        5648486      4948486      0      -
      2066.296915121     6         C1           1260         -740      1      0
      2066.296924201     6         C2         697133       661133      0      -
      2066.297641584     6         C3        3172245      2472245      0      -
      2066.300829049     6         C2         177121       141121      0      -
      2066.301062151     6         C3        2529071      1829071      0      -
      2066.303603112     6         C3        1737679      1037679      0      -
      2066.305367931     6         C3        1555497       855497      0      -
