          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      2089.190214431     6         C3         857794       157794      0      -
      2089.197285154     6         C2         892074       856074      1      1
      2089.198182278     6         C3        3330625      2630625      0      -
      2089.201523034     6         C2         879364       843364      1      1
      2089.202416708     6         C3        2429231      1729231      0      -
      2089.204853599     6         C3        1028745       328745      0      -
      2089.205906604     6         C2        1104455      1068455      1      1
      2089.207020669     6         C2        1151886      1115886      1      1
      2089.208177355     6         C3        1414306       714306      0      -
      2089.209598361     6         C3        1601328       901328      0      -
      2089.211208279     6         C2         298121       262121      0      -
      2089.211509690     6         C3        2854024      2154024      0      -
      2089.214377534     6         C2         467662       431662      0      -
      2089.214849506     6         C3        2009669      1309669      0      -
      2089.216873065     6         C3        1305746       605746      0      -
      2089.218185461     6         C3        3328936      2628936      0      -
      2089.221521647     6         C2         108221        72221      0      -
      2089.221650438     6         C3         891194       191194      0      -
      2089.222579362     6         C2         413652       377652      0      -
      2089.223020854     6         C2         196351       160351      0      -
      2089.223792918     6         C3        1047195       347195      0      -
      2089.224844493     6         C3        1851638      1151638      0      -
      2089.226707091     6         C3         542423      -157577      1      0
      2089.227266044     6         C2         907524       871524      1      1
      2089.228181988     6         C3        2073050      1373050      0      -
      2089.230266898     6         C3        1240566       540566      0      -
      2089.231514374     6         C3        3325795      2625795      0      -
      2089.234843739     6         C2         339172       303172      0      -
      2089.235191951     6         C2         118891        82891      0      -
      2089.235325562     6         C2           7460       -28540      1      0
      2089.235346302     6         C2          15020       -20980      1      0
      2089.235471182     6         C2         291912       255912      0      -
      2089.235773534     6         C3        1339546       639546      0      -
      2089.237135690     6         C2           1750       -34250      1      0
      2089.237142280     6         C2           4140       -31860      1      0
      2089.237169880     6         C2           5800       -30200      1      0
      2089.237186630     6         C2           1520       -34480      1      0
      2089.237192570     6         C1           2180          180      1      0
      2089.237214731     6         C1           4090         2090      0      -
      2089.237232981     6       POLL           2890         2890      1      1
      2089.237239781     6         C1           7570         5570      0      -
      2089.237267021     6         C1           1230         -770      1      0
      2089.237273401     6         C1          31980        29980      0      -
      2089.237325941     6         C1           1770         -230      1      0
      2089.237368181     6         C1           1920          -80      1      0
      2089.237381221     6         C1           6340         4340      0      -
      2089.237397551     6         C1            720        -1280      1      0
      2089.237402151     6         C1          20371        18371      0      -
      2089.237432252     6         C1            680        -1320      1      0
      2089.237436752     6         C1           3870         1870      0      -
      2089.237450072     6         C1            690        -1310      1      0
      2089.237454632     6         C1           3510         1510      0      -
      2089.237467552     6         C1            680        -1320      1      0
      2089.237472052     6         C1           5910         3910      0      -
      2089.237487342     6         C1            710        -1290      1      0
      2089.237491902     6         C1           3560         1560      0      -
      2089.237504562     6         C1            670        -1330      1      0
      2089.237509062     6         C1          60200        58200      1      1
      2089.237583532     6         C1           3990         1990      0      -
      2089.237606962     6         C1           4630         2630      0      -
      2089.237621382     6         C1            680        -1320      1      0
      2089.237626052     6         C1           3370         1370      0      -
      2089.237639383     6         C1            680        -1320      1      0
      2089.237644073     6         C1           3570         1570      0      -
      2089.237657123     6         C1            690        -1310      1      0
      2089.237661633     6         C1           2980          980      0      -
      2089.237674133     6         C1            550        -1450      1      0
      2089.237678483     6         C1           3040         1040      0      -
      2089.237690913     6       POLL            560          560      0      -
      2089.237694953     6       POLL           3180         3180      1      1
      2089.237707623     6       POLL            590          590      0      -
      2089.237711643     6       POLL           3520         3520      1      1
      2089.237724573     6       POLL            570          570      0      -
      2089.237728553     6       POLL           3420         3420      1      1
      2089.237741643     6         C1            550        -1450      1      0
      2089.237745993     6         C1           2880          880      0      -
      2089.237758113     6         C1            710        -1290      1      0
      2089.237762643     6         C1           2790          790      0      -
      2089.237774763     6         C1            690        -1310      1      0
      2089.237779283     6         C1          99521        97521      1      1
      2089.237891364     6       POLL          17630        17630      1      1
      2089.237919014     6         C1          14040        12040      0      -
      2089.237978114     6         C1         180051       178051      1      1
      2089.238159885     6         C1          13750        11750      0      -
      2089.238179315     6         C2         670453       634453      0      -
      2089.238858758     6         C3         745174        45174      0      -
      2089.239645252     6         C2         518862       482862      0      -
      2089.240185554     6         C2         412032       376032      0      -
      2089.240605436     6         C2         901845       865845      1      1
      2089.241537291     6         C3        1331976       631976      0      -
      2089.242923707     6         C3        1917169      1217169      0      -
      2089.244845886     6         C2         342662       306662      0      -
      2089.245195528     6         C3         525132      -174868      1      0
      2089.245740520     6         C3           8370      -691630      1      0
      2089.245756811     6         C3        2417871      1717871      0      -
      2089.248178462     6         C2         366462       330462      0      -
      2089.248561954     6         C2          13260       -22740      1      0
      2089.248592924     6         C2         361662       325662      0      -
      2089.248970056     6         C2         215431       179431      0      -
      2089.249198597     6         C2        1319846      1283846      1      1
      2089.250526103     6         C2         981954       945954      1      1
      2089.251538108     6         C3        3303855      2603855      0      -
      2089.254846283     6         C2         821654       785654      1      1
      2089.255699257     6         C2         332092       296092      0      -
      2089.256054469     6         C2         588602       552602      0      -
      2089.256658972     6         C3          10800      -689200      1      0
      2089.256684472     6         C2        1490527      1454527      1      1
      2089.258181189     6         C2        1029935       993935      1      1
      2089.259221924     6         C3          10320      -689680      1      0
      2089.259242254     6         C3        2266760      1566760      0      -
      2089.261512964     6         C2         484923       448923      0      -
      2089.262009467     6         C3        2832743      2132743      0      -
      2089.264847600     6         C3        2070380      1370380      0      -
      2089.266926870     6         C2         126410        90410      0      -
      2089.267072000     6         C2           3160       -32840      1      0
      2089.267085180     6         C2        1090405      1054405      1      1
      2089.268178785     6         C3        1698918       998918      0      -
      2089.269888393     6         C3           9031      -690969      1      0
      2089.269908404     6         C3        1601167       901167      0      -
      2089.271513951     6         C2         873224       837224      1      1
      2089.272395385     6         C3         334462      -365538      1      0
      2089.272753637     6         C3         327781      -372219      1      0
      2089.273097629     6         C2        1206765      1170765      1      1
      2089.274311424     6         C2         531353       495353      0      -
      2089.274845607     6         C3        3131344      2431344      0      -
      2089.277995781     6         C2          14570       -21430      1      0
      2089.278027092     6         C2         149300       113300      0      -
      2089.278192632     6         C2         546693       510693      0      -
      2089.278748435     6         C3        1796468      1096468      0      -
      2089.280559843     6         C3          20841      -679159      1      0
      2089.280594694     6         C2         915244       879244      1      1
      2089.281513698     6         C3        2674942      1974942      0      -
      2089.284200040     6         C2         643543       607543      0      -
      2089.284848763     6         C3        3328056      2628056      0      -
      2089.288181109     6         C2         170311       134311      0      -
      2089.288360620     6         C1          26890        24890      0      -
      2089.288405590     6         C3          15010      -684990      1      0
      2089.288431620     6         C3         375022      -324978      1      0
      2089.288842902     6         C2         399402       363402      0      -
      2089.289257474     6         C2         868204       832204      1      1
      2089.290147078     6         C2        1064715      1028715      1      1
      2089.291230533     6         C2          26380        -9620      1      0
      2089.291269464     6         C2         240691       204691      0      -
      2089.291514695     6         C2         366471       330471      0      -
      2089.291888096     6         C3        2652993      1952993      0      -
      2089.294549199     6         C2         294481       258481      0      -
      2089.294846660     6         C3        3330576      2630576      0      -
      2089.298183066     6         C2          79660        43660      0      -
      2089.298271536     6         C2        1039605      1003605      1      1
      2089.299324601     6         C3          23220      -676780      1      0
      2089.299357841     6         C3        2152930      1452930      0      -
      2089.301516592     6         C2         361801       325801      0      -
      2089.301892873     6         C3          30170      -669830      1      0
      2089.301936453     6         C3        1860559      1160559      0      -
      2089.303804112     6         C3        2073870      1373870      0      -
      2089.305909452     6         C3         330662      -369338      1      0
      2089.306264074     6         C3        1913689      1213689      0      -
      2089.308183743     6         C3        1467467       767467      0      -
      2089.309657700     6         C2          63180        27180      0      -
      2089.309733530     6         C3          21890      -678110      1      0
      2089.309763220     6         C3        1748348      1048348      0      -
      2089.311517828     6         C2        1027455       991455      1      1
      2089.312561743     6         C3          28190      -671810      1      0
      2089.312599333     6         C3        2245511      1545511      0      -
      2089.314853804     6         C3        2946704      2246704      0      -
      2089.317809398     6         C2         368701       332701      0      -
      2089.318180700     6         C2        1238775      1202775      1      1
      2089.319426115     6         C3        1219256       519256      0      -
      2089.320657491     6         C3         187831      -512169      1      0
      2089.320855942     6         C2         655803       619803      0      -
      2089.321514155     6         C3        1434137       734137      0      -
      2089.322968012     6         C2         244161       208161      0      -
      2089.323227403     6         C2          32300        -3700      1      0
      2089.323275163     6         C2          85971        49971      0      -
      2089.323387154     6         C3         917604       217604      0      -
      2089.324311928     6         C2         533443       497443      0      -
      2089.324849321     6         C3        2803013      2103013      0      -
      2089.327661574     6         C2         131540        95540      0      -
      2089.327801305     6         C2         377591       341591      0      -
      2089.328181636     6         C3        2873194      2173194      0      -
      2089.331071380     6         C2         305391       269391      0      -
      2089.331387121     6         C2         125581        89581      0      -
      2089.331517812     6         C2         648943       612943      0      -
      2089.332172875     6         C3        1705718      1005718      0      -
      2089.333889043     6         C2         209741       173741      0      -
      2089.334107314     6         C2         506592       470592      0      -
      2089.334622516     6         C2         223822       187822      0      -
      2089.334850448     6         C3        3328855      2628855      0      -
      2089.338184043     6         C3         841504       141504      0      -
      2089.339052277     6         C2         361272       325272      0      -
      2089.339428449     6         C2         190611       154611      0      -
      2089.339625420     6         C3        1887469      1187469      0      -
      2089.341519559     6         C2         460192       424192      0      -
      2089.341997001     6         C3          20690      -679310      1      0
      2089.342033741     6         C3        1648548       948548      0      -
      2089.343688729     6         C2          55020        19020      0      -
      2089.343749259     6         C2         796814       760814      1      1
      2089.344556793     6         C2          36060           60      1      0
      2089.344601793     6         C2         244391       208391      0      -
      2089.344848814     6         C3        1910239      1210239      0      -
      2089.346765403     6         C3        1414457       714457      0      -
      2089.348185270     6         C3        3328586      2628586      0      -
      2089.351517366     6         C2         502222       466222      0      -
      2089.352028228     6         C2         360642       324642      0      -
      2089.352400280     6         C2          21770       -14230      1      0
      2089.352429320     6         C2        1109825      1073825      1      1
      2089.353545845     6         C3        1300966       600966      0      -
      2089.354850551     6         C2         362212       326212      0      -
      2089.355222823     6         C2          24610       -11390      1      0
      2089.355256193     6         C2         288851       252851      0      -
      2089.355551244     6         C3         550493      -149507      1      0
      2089.356121057     6         C3         306672      -393328      1      0
      2089.356443129     6         C3        1737638      1037638      0      -
      2089.358184877     6         C3        2637372      1937372      0      -
      2089.360831769     6         C2         682523       646523      0      -
      2089.361516592     6         C2         508613       472613      0      -
      2089.362030925     6         C3        1282486       582486      0      -
      2089.363326021     6         C3         191421      -508579      1      0
      2089.363528312     6         C3        1319126       619126      0      -
      2089.364851018     6         C2         633053       597053      0      -
      2089.365490221     6         C2         389232       353232      0      -
      2089.365889593     6         C2          24960       -11040      1      0
      2089.365923233     6         C2        1046875      1010875      1      1
      2089.366976708     6         C3        1204116       504116      0      -
      2089.368184214     6         C3        3330265      2630265      0      -
      2089.371518069     6         C3         654353       -45647      1      0
      2089.372191692     6         C2         347172       311172      0      -
      2089.372553244     6         C2         276971       240971      0      -
      2089.372836635     6         C3         886184       186184      0      -
      2089.373734980     6         C3          22200      -677800      1      0
      2089.373764660     6         C3        1083445       383445      0      -
      2089.374852335     6         C3        1694168       994168      0      -
      2089.376561823     6         C2          21210       -14790      1      0
      2089.376597713     6         C2        1106615      1070615      1      1
      2089.377713048     6         C2         468402       432402      0      -
      2089.378183990     6         C3        2264881      1564881      0      -
      2089.380458111     6         C2         529772       493772      0      -
      2089.380996124     6         C2         519072       483072      0      -
      2089.381518626     6         C3        1445287       745287      0      -
      2089.382969863     6         C3        1677768       977768      0      -
      2089.384659431     6         C2          22090       -13910      1      0
      2089.384691841     6         C2         156621       120621      0      -
      2089.384850812     6         C2        1214745      1178745      1      1
      2089.386072107     6         C2        1140906      1104906      1      1
      2089.387224003     6         C3          35750      -664250      1      0
      2089.387268233     6         C3         913784       213784      0      -
      2089.388184627     6         C3        1058675       358675      0      -
      2089.389262652     6         C3         342542      -357458      1      0
      2089.389620934     6         C3        1894309      1194309      0      -
      2089.391519163     6         C2         198411       162411      0      -
      2089.391724564     6         C2         702053       666053      0      -
      2089.392432317     6         C3        2416621      1716621      0      -
      2089.394852258     6         C2         204421       168421      0      -
      2089.395068579     6         C2          21950       -14050      1      0
      2089.395097990     6         C2         690493       654493      0      -
      2089.395797423     6         C3        2082730      1382730      0      -
      2089.397894523     6         C2          34930        -1070      1      0
      2089.397942413     6         C2         240241       204241      0      -
      2089.398188044     6         C3        1896109      1196109      0      -
      2089.400090813     6         C3        1425097       725097      0      -
      2089.401518210     6         C3        1905428      1205428      0      -
      2089.403432199     6         C3        1417296       717296      0      -
      2089.404851865     6         C2        1130185      1094185      1      1
      2089.405994541     6         C3          15700      -684300      1      0
      2089.406021311     6         C3         282931      -417069      1      0
      2089.406332112     6         C3         360312      -339688      1      0
      2089.406715744     6         C2        1467477      1431477      1      1
      2089.408189391     6         C2         176991       140991      0      -
      2089.408376202     6         C2         170760       134760      0      -
      2089.408561933     6         C3          34380      -665620      1      0
      2089.408609213     6         C3        2907203      2207203      0      -
      2089.411520146     6         C2         145441       109441      0      -
      2089.411674617     6         C3        3175145      2475145      0      -
      2089.414854502     6         C3        1536077       836077      0      -
      2089.416406329     6         C2         188751       152751      0      -
      2089.416605620     6         C3         899124       199124      0      -
      2089.417510774     6         C2         673144       637144      0      -
      2089.418186308     6         C2        1027034       991034      1      1
      2089.419223792     6         C3          36481      -663519      1      0
      2089.419268653     6         C3        1909899      1209899      0      -
      2089.421187652     6         C2         329621       293621      0      -
      2089.421521143     6         C3         852384       152384      0      -
      2089.422391567     6         C3         333842      -366158      1      0
      2089.422740799     6         C3        2019459      1319459      0      -
      2089.424769438     6         C2          81131        45131      0      -
      2089.424857319     6         C3        2458891      1758891      0      -
      2089.427332890     6         C2         153691       117691      0      -
      2089.427495101     6         C2          30040        -5960      1      0
      2089.427540451     6         C2         643453       607453      0      -
      2089.428186744     6         C3        1693648       993648      0      -
      2089.429890762     6         C2          24450       -11550      1      0
      2089.429923683     6         C2        1196825      1160825      1      1
      2089.431131928     6         C2         386152       350152      0      -
      2089.431522390     6         C3        1964039      1264039      0      -
      2089.433500869     6         C3        1350047       650047      0      -
      2089.434853216     6         C3        2143510      1443510      0      -
      2089.437005476     6         C2         719103       683103      1      1
      2089.437740369     6         C2          22030       -13970      1      0
      2089.437772859     6         C2         411662       375662      0      -
      2089.438186981     6         C2         607933       571933      0      -
      2089.438801164     6         C2         643193       607193      0      -
      2089.439462657     6         C2         341962       305962      0      -
      2089.439819469     6         C2         166341       130341      0      -
      2089.439992170     6         C2         555322       519322      0      -
      2089.440558292     6         C2          35680         -320      1      0
      2089.440602912     6         C2         557773       521773      0      -
      2089.441166585     6         C2         351742       315742      0      -
      2089.441522267     6         C3        3329455      2629455      0      -
      2089.444862412     6         C3        3322706      2622706      0      -
      2089.448188538     6         C2         462252       426252      0      -
      2089.448671690     6         C2          22220       -13780      1      0
      2089.448707620     6         C2         142301       106301      0      -
      2089.448858501     6         C3        2355631      1655631      0      -
      2089.451228102     6         C2          35000        -1000      1      0
      2089.451274772     6         C2         244282       208282      0      -
      2089.451525394     6         C2           8860       -27140      1      0
      2089.451545034     6         C2         219901       183901      0      -
      2089.451775405     6         C2         584233       548233      0      -
      2089.452365468     6         C3        2487081      1787081      0      -
      2089.454855929     6         C3         658243       -41757      1      0
      2089.455533232     6         C3         413082      -286918      1      0
      2089.455961794     6         C2         997495       961495      1      1
      2089.456966079     6         C3        1220036       520036      0      -
      2089.458190045     6         C2         868564       832564      1      1
      2089.459071189     6         C3          21750      -678250      1      0
      2089.459100659     6         C3        2418631      1718631      0      -
      2089.461523260     6         C2         357882       321882      0      -
      2089.461896582     6         C2          32610        -3390      1      0
      2089.461942762     6         C2         332032       296032      0      -
      2089.462281044     6         C3        2572132      1872132      0      -
      2089.464859226     6         C3        3010234      2310234      0      -
      2089.467878150     6         C2         308552       272552      0      -
      2089.468190662     6         C3        1793938      1093938      0      -
      2089.469996450     6         C2          22400       -13600      1      0
      2089.470029200     6         C2         743584       707584      1      1
      2089.470788854     6         C3          74940      -625060      1      0
      2089.470872984     6         C2         647093       611093      0      -
      2089.471523947     6         C2        1024005       988005      1      1
      2089.472558502     6         C2          26010        -9990      1      0
