          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      2111.922879118     6         C2         123511        87511      0      -
      2111.930238763     6         C3        2455261      1755261      0      -
      2111.932701394     6         C3        1479047       779047      0      -
      2111.934184251     6         C3        1165806       465806      0      -
      2111.935357727     6         C2         669603       633603      0      -
      2111.936030280     6         C3        3330635      2630635      0      -
      2111.939366905     6         C2         587303       551303      0      -
      2111.939964068     6         C3        2570702      1870702      0      -
      2111.942543450     6         C2         151761       115761      0      -
      2111.942700641     6         C3        1443797       743797      0      -
      2111.944158298     6         C3        1869599      1169599      0      -
      2111.946047637     6         C3        1225085       525085      0      -
      2111.947279172     6         C3        2082290      1382290      0      -
      2111.949364332     6         C2         392672       356672      0      -
      2111.949763114     6         C3        2931804      2231804      0      -
      2111.952699908     6         C3        1814408      1114408      0      -
      2111.954524216     6         C3        1504547       804547      0      -
      2111.956036543     6         C2         355022       319022      0      -
      2111.956397865     6         C3        2907474      2207474      0      -
      2111.959311479     6         C2          50560        14560      0      -
      2111.959364839     6         C3        3331066      2631066      0      -
      2111.962702195     6         C2         158460       122460      0      -
      2111.962874005     6         C3        5494306      4794306      0      -
      2111.968379001     6         C2         983635       947635      1      1
      2111.969366936     6         C3        2087290      1387290      0      -
      2111.971463336     6         C3        1232775       532775      0      -
      2111.972699471     6         C2         502003       466003      0      -
      2111.973208204     6         C3        4583141      3883141      0      -
      2111.977802465     6         C3        1560648       860648      0      -
      2111.979368483     6         C3        2191920      1491920      0      -
      2111.981567063     6         C3        1129525       429525      0      -
      2111.982699078     6         C2         419012       383012      0      -
      2111.983125500     6         C3        5505016      4805016      0      -
      2111.988637856     6         C3        5944438      5244438      0      -
      2111.994593324     6         C3        4908023      4208023      0      -
      2111.999509117     6         C3        5460515      4760515      0      -
      2112.004979652     6         C3        1051625       351625      0      -
      2112.006038207     6         C2         849504       813504      1      1
      2112.006894891     6         C3        4426261      3726261      0      -
      2112.011332112     6         C3        5439106      4739106      0      -
      2112.016778618     6         C3        4151539      3451539      0      -
      2112.020936907     6         C3        1761738      1061738      0      -
      2112.022702315     6         C3        1115736       415736      0      -
      2112.023824151     6         C2         652113       616113      0      -
      2112.024481794     6         C3        1550227       850227      0      -
      2112.026034571     6         C3        1100725       400725      0      -
      2112.027141446     6         C3        2224391      1524391      0      -
      2112.029369257     6         C3        1485737       785737      0      -
      2112.030861784     6         C3        5525765      4825765      0      -
      2112.036398270     6         C3        5845547      5145547      0      -
      2112.042250457     6         C2         449092       413092      0      -
      2112.042702819     6         C3        2458012      1758012      0      -
      2112.045167521     6         C3        5240054      4540054      0      -
      2112.050419565     6         C3        1609618       909618      0      -
      2112.052036073     6         C3        4882743      4182743      0      -
      2112.056933816     6         C3        2440621      1740621      0      -
      2112.059384727     6         C3         893224       193224      0      -
      2112.060291841     6         C2         135711        99711      0      -
      2112.060442122     6         C3        4402181      3702181      0      -
      2112.064867363     6         C3        1172255       472255      0      -
      2112.066046668     6         C3        1262276       562276      0      -
      2112.067329904     6         C3        4993344      4293344      0      -
      2112.072338048     6         C2         368881       332881      0      -
      2112.072713880     6         C3        3321325      2621325      0      -
      2112.076041355     6         C2         357792       321792      0      -
      2112.076412857     6         C2          53930        17930      0      -
      2112.076475207     6         C3        3070364      2370364      0      -
      2112.079569902     6         C3        5255004      4555004      0      -
      2112.084839796     6         C3        1500137       800137      0      -
      2112.086357253     6         C3        2002030      1302030      0      -
      2112.088374063     6         C3        5273004      4573004      0      -
      2112.093662018     6         C3        1198015       498015      0      -
      2112.094874003     6         C3        1167076       467076      0      -
      2112.096047959     6         C3        2282450      1582450      0      -
      2112.098344439     6         C3        1030095       330095      0      -
      2112.099379484     6         C2         448212       412212      0      -
      2112.099842536     6         C3        5857158      5157158      0      -
      2112.105722334     6         C3        4867053      4167053      0      -
      2112.110604317     6         C3        2275141      1575141      0      -
      2112.112888968     6         C2         454832       418832      0      -
      2112.113357840     6         C2         534402       498402      0      -
      2112.113906222     6         C3        1971670      1271670      0      -
      2112.115891802     6         C2         150990       114990      0      -
      2112.116048662     6         C3        2937844      2237844      0      -
      2112.119004856     6         C3        5648857      4948857      0      -
      2112.124675293     6         C2         704363       668363      0      -
      2112.125393536     6         C2         648963       612963      0      -
      2112.126049499     6         C3        2646523      1946523      0      -
      2112.128716262     6         C1          13870        11870      0      -
      2112.128740532     6         C1           6820         4820      0      -
      2112.128762662     6         C3        4284690      3584690      0      -
      2112.133058362     6         C3        2986964      2286964      0      -
      2112.136055286     6         C2         335032       299032      0      -
      2112.136402768     6         C3        4932643      4232643      0      -
      2112.141346111     6         C3        1358556       658556      0      -
      2112.142709127     6         C3        1926359      1226359      0      -
      2112.144646286     6         C3        5828887      5128887      0      -
      2112.150482283     6         C3        2222851      1522851      0      -
      2112.152708554     6         C3        1441067       741067      0      -
      2112.154158711     6         C3        1879629      1179629      0      -
      2112.156040550     6         C3        1690967       990967      0      -
      2112.157737607     6         C3        1635028       935028      0      -
      2112.159377335     6         C3        1078755       378755      0      -
      2112.160462310     6         C3        2243671      1543671      0      -
      2112.162708701     6         C3        1379736       679736      0      -
      2112.164094397     6         C3        1944589      1244589      0      -
      2112.166042026     6         C2         410162       374162      0      -
