          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
       227.291505965     3        C10        4914609       -85391      1      0
       227.296531913     3        C1E         117935        97935      1      1
       227.312063428     3         C8        2590059      1790059      0      -
       227.314693613     3         C8        2588525      1788525      0      -
       227.317348011     3         C6         399638       199638      0      -
       227.317794410     3         C8        3516918      2716918      0      -
       227.321348748     3         C6         721136       521136      0      -
       227.322141013     3         C8        2508436      1708436      0      -
       227.324749407     3         C8        1960656      1160656      0      -
       227.326793522     3         C6         958718       758718      1      1
       227.327791470     3         C8        2464326      1664326      0      -
       227.330339279     3         C6         730011       530011      0      -
       227.331099482     3         C8        1758391       958391      0      -
       227.332929866     3         C8        1663752       863752      0      -
       227.334658485     3         C8        3304568      2504568      0      -
       227.338059023     3         C8        2186564      1386564      0      -
       227.340334944     3         C6         706073       506073      0      -
       227.341075084     3         C8        2484555      1684555      0      -
       227.343648292     3         C6         713791       513791      0      -
       227.344392336     3         C8        3121972      2321972      0      -
       227.347591986     3        C10        5788845       788845      0      -
       227.353496262     3         C6         845307       645307      0      -
       227.354377869     3         C8        2489871      1689871      0      -
       227.356966277     3         C6         723604       523604      0      -
       227.357727458     3         C8        1247858       447858      0      -
       227.359074354     3         C8        2232365      1432365      0      -
       227.361340927     3         C8        2649914      1849914      0      -
       227.364104924     3         C3          57708       -42292      1      0
       227.364170659     3         C3          81468       -18532      1      0
       227.364277887     3         C3           8870       -91130      1      0
       227.364340617     3         C8        3615059      2815059      0      -
       227.368097086     3         C8        1871434      1071434      0      -
       227.370079254     3         C8        1148385       348385      0      -
       227.371261112     3         C8        3375687      2575687      0      -
       227.374670246     3         C8        1176257       376257      0      -
       227.375961286     3         C8        2014612      1214612      0      -
       227.378008753     3         C8        3283952      2483952      0      -
       227.381345470     3         C6         616440       416440      0      -
       227.382086448     3         C8        2538538      1738538      0      -
       227.384677332     3         C8        2651800      1851800      0      -
       227.387459733     3         C3          57877       -42123      1      0
       227.387542849     3         C3          63972       -36028      1      0
       227.387644951     3         C8        3645829      2845829      0      -
       227.391343630     3         C8        1864179      1064179      0      -
       227.393340702     3         C8        1232646       432646      0      -
       227.394606906     3         C6         665023       465023      0      -
       227.395420760     3         C8        2536305      1736305      0      -
       227.398009191     3         C8        2152001      1352001      0      -
       227.400294637     3         C6         725736       525736      0      -
       227.401064236     3         C8        3558830      2758830      0      -
       227.404675049     3         C8        1331572       531572      0      -
       227.406122214     3         C8        1836784      1036784      0      -
       227.407991948     3         C8        2608825      1808825      0      -
       227.410714962     3         C6         308551       108551      0      -
       227.411065991     3         C8        2862885      2062885      0      -
       227.414044071     3         C6         313694       113694      0      -
       227.414400668     3         C6         341022       141022      0      -
       227.414838925     3         C8        2970455      2170455      0      -
       227.417963375     3         C8        3171586      2371586      0      -
       227.421168821     3         C6         556749       356749      0      -
       227.421831902     3         C8        2805024      2005024      0      -
       227.424671211     3         C8        3004563      2204563      0      -
       227.427821920     3        C10        6156375      1156375      0      -
       227.434119113     3         C3          57764       -42236      1      0
       227.434202426     3         C3          63934       -36066      1      0
       227.434292297     3         C3           9438       -90562      1      0
       227.434353378     3         C8        2987987      2187987      0      -
       227.437474360     3         C3          57699       -42301      1      0
       227.437557038     3         C3          56770       -43230      1      0
       227.437652276     3         C8        3638598      2838598      0      -
