          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
       251.231250216     3        C10        1109449     -3890551      1      0
       251.247861627     3         C8        3231366      2431366      0      -
       251.251129509     3         C8        2251060      1451060      0      -
       251.253464274     3         C6         956234       756234      1      1
       251.254452873     3         C8        3573915      2773915      0      -
       251.258123037     3         C8        2977852      2177852      0      -
       251.261190734     3         C8        1995816      1195816      0      -
       251.263270668     3         C8        1358889       558889      0      -
       251.264667115     3         C8        2085891      1285891      0      -
       251.266836598     3         C6         916521       716521      1      1
       251.267809163     3         C8        1880205      1080205      0      -
       251.269774443     3         C8        1519289       719289      0      -
       251.271332010     3         C8        3338360      2538360      0      -
       251.274777838     3         C8        2191658      1391658      0      -
       251.277056795     3         C6         666969       466969      0      -
       251.277758695     3         C8        2578958      1778958      0      -
       251.280429840     3         C6         614951       414951      0      -
       251.281078807     3         C8        3249418      2449418      0      -
       251.284426075     3        C10        5845428       845428      0      -
       251.290365240     3         C6         667468       467468      0      -
       251.291062557     3         C8        2723643      1923643      0      -
       251.293883406     3         C6         487368       287368      0      -
       251.294402268     3         C8        1539129       739129      0      -
       251.296018651     3         C8        1958563      1158563      0      -
       251.298003583     3         C8        2696708      1896708      0      -
       251.300805581     3         C3          71350       -28650      1      0
       251.300900870     3         C3          42416       -57584      1      0
       251.300975463     3         C8        3661029      2861029      0      -
       251.304751394     3         C8        1871131      1071131      0      -
       251.306745391     3         C8        1150075       350075      0      -
       251.307929585     3         C8        3361954      2561954      0      -
       251.311344657     3         C6         951937       751937      1      1
       251.312416050     3        C10        6252433      1252433      0      -
       251.318810072     3         C8        2479332      1679332      0      -
       251.321341292     3         C8        2649330      1849330      0      -
       251.324125431     3         C3          57857       -42143      1      0
       251.324208663     3         C3          64060       -35940      1      0
       251.324310954     3         C8        3632140      2832140      0      -
       251.327976650     3         C8        1930827      1130827      0      -
       251.330021737     3         C8        1213114       413114      0      -
       251.331268736     3         C6         706473       506473      0      -
       251.332100496     3         C8        2525530      1725530      0      -
       251.334678660     3         C8        2181417      1381417      0      -
       251.336974055     3         C6         712493       512493      0      -
       251.337729423     3         C8        3571884      2771884      0      -
       251.341334804     3         C8        1322699       522699      0      -
       251.342771919     3         C8        1849634      1049634      0      -
       251.344784776     3         C6         570560       370560      0      -
       251.345424024     3         C6         557133       357133      0      -
       251.346064863     3         C6         903171       703171      1      1
       251.347170611     3         C6         511094       311094      0      -
       251.347721651     3         C8        2620128      1820128      0      -
       251.350475342     3         C6         541828       341828      0      -
       251.351059257     3        C1E          37101        17101      0      -
       251.351167781     3         C8        2974824      2174824      0      -
       251.354275274     3         C1           5840         3840      0      -
       251.354296912     3         C8        3658893      2858893      0      -
       251.358100346     3         C8        3187790      2387790      0      -
       251.361340557     3         C8        2601537      1801537      0      -
       251.364077872     3        C10        6158312      1158312      0      -
       251.370376426     3         C6         659224       459224      0      -
       251.371059242     3         C8        2539404      1739404      0      -
       251.373731691     3         C6         618170       418170      0      -
       251.374391635     3         C8        3475712      2675712      0      -
       251.377901265     3         C8        1322749       522749      0      -
       251.379369446     3         C8        1916473      1116473      0      -
       251.381411252     3         C8        3228098      2428098      0      -
       251.384672651     3         C8        1921762      1121762      0      -
       251.386726329     3         C8        1169621       369621      0      -
       251.387929705     3         C8        2466717      1666717      0      -
       251.390509885     3        C1E         102310        82310      0      -
       251.390654538     3         C6         372379       172379      0      -
       251.391069388     3         C8        3552242      2752242      0      -
       251.394674095     3         C6         421336       221336      0      -
       251.395219653     3         C8        2735522      1935522      0      -
       251.398098551     3         C8        3205276      2405276      0      -
       251.401337629     3         C8        1996385      1196385      0      -
       251.403447929     3         C8        1104454       304454      0      -
       251.404585498     3         C8        3236608      2436608      0      -
       251.407964304     3        C1E          24996         4996      0      -
       251.408034003     3         C8        3255633      2455633      0      -
       251.411439855     3         C8        3186440      2386440      0      -
       251.414678428     3         C8        2281707      1481707      0      -
       251.417092888     3         C6         591826       391826      0      -
       251.417727549     3         C6         918887       718887      1      1
