          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      2836.416988596     3        C10        1316852     -3683148      1      0
      2836.437681115     3         C8        2917627      2117627      0      -
      2836.440648406     3         C8        2397961      1597961      0      -
      2836.443116816     3         C6         920368       720368      1      1
      2836.444074239     3         C8        3288860      2488860      0      -
      2836.447389674     3         C6         449934       249934      0      -
      2836.447884393     3         C8        2936419      2136419      0      -
      2836.450947645     3         C8        1598361       798361      0      -
      2836.452625380     3         C8        1272751       472751      0      -
      2836.453944854     3         C8        1808762      1008762      0      -
      2836.455794373     3         C8        1552005       752005      0      -
      2836.457352297     3         C8        1182364       382364      0      -
      2836.458641989     3         C8        2286517      1486517      0      -
      2836.460957517     3         C8        2579432      1779432      0      -
      2836.463609124     3         C6         290357        90357      0      -
      2836.463925221     3         C8        1655279       855279      0      -
      2836.465628694     3         C8        1733348       933348      0      -
      2836.467367711     3         C8        1470022       670022      0      -
      2836.468902360     3         C8        1661181       861181      0      -
      2836.470572602     3         C8        1896099      1096099      0      -
      2836.472507701     3         C8        1416316       616316      0      -
      2836.473932775     3         C8        3409811      2609811      0      -
      2836.477348936     3         C6         752492       552492      0      -
      2836.478152580     3         C8        2530074      1730074      0      -
      2836.480710737     3         C6         636185       436185      0      -
      2836.481392174     3         C8        1831400      1031400      0      -
      2836.483277139     3         C6         726276       526276      0      -
      2836.484033235     3         C8        3202127      2402127      0      -
      2836.487262323     3         C6         600740       400740      0      -
      2836.488069942     3         C8        2494662      1694662      0      -
      2836.490575645     3         C8        1238711       438711      0      -
      2836.491930395     3         C8        1569399       769399      0      -
      2836.493542142     3         C6         351369       151369      0      -
      2836.493901668     3         C8        3360369      2560369      0      -
      2836.497271129     3         C8        1801544      1001544      0      -
      2836.499116308     3        C10        5959568       959568      0      -
      2836.505340037     3         C8        1913867      1113867      0      -
      2836.507322194     3         C8        2896383      2096383      0      -
      2836.510372802     3        C10        5461482       461482      0      -
      2836.515991414     3         C8        1236338       436338      0      -
      2836.517241554     3         C6         561539       361539      0      -
      2836.517807833     3         C6          47069      -152931      1      0
      2836.517858493     3         C6          20978      -179022      1      0
      2836.517915791     3         C8        2668957      1868957      0      -
      2836.520640037     3         C8        1721869       921869      0      -
      2836.522627457     3         C8        1294520       494520      0      -
      2836.523962781     3         C8        3272894      2472894      0      -
      2836.527269973     3         C6         732241       532241      0      -
      2836.528190415     3         C8        2410072      1610072      0      -
      2836.530630543     3         C8        1767816       967816      0      -
      2836.532463194     3         C8        1538744       738744      0      -
      2836.534044488     3         C8        1325931       525931      0      -
      2836.535448469     3         C6         643417       443417      0      -
      2836.536228624     3         C8        1028231       228231      0      -
      2836.537354001     3         C8        1494446       694446      0      -
      2836.539085748     3         C8        1499724       699724      0      -
      2836.540665805     3         C8        2251496      1451496      0      -
      2836.543028961     3         C8        1098196       298196      0      -
      2836.544154912     3         C8        3078907      2278907      0      -
      2836.547255975     3         C8        1271071       471071      0      -
      2836.548606042     3        C10        5225778       225778      0      -
      2836.553852392     3        C10         622506     -4377494      1      0
      2836.554792695     3         C8        2463882      1663882      0      -
      2836.557302570     3         C6         334277       134277      0      -
      2836.557843862     3         C8        2758012      1958012      0      -
      2836.560624142     3         C8        2436892      1636892      0      -
      2836.563155166     3         C6         803690       603690      0      -
      2836.563977266     3         C6         796262       596262      0      -
      2836.564854232     3         C8        2383693      1583693      0      -
      2836.567274923     3         C8        2437262      1637262      0      -
      2836.569793925     3         C6         842596       642596      0      -
      2836.570655889     3         C8        2701306      1901306      0      -
      2836.573522959     3        C1E         103323        83323      0      -
      2836.573668624     3         C6         331670       131670      0      -
      2836.574022154     3         C8        3210208      2410208      0      -
      2836.577253842     3         C6         772811       572811      0      -
      2836.578129439     3         C8        2424810      1624810      0      -
      2836.580644887     3         C8        3252416      2452416      0      -
      2836.583911716     3         C8        1717751       917751      0      -
      2836.585702612     3         C8        1561936       761936      0      -
      2836.587289227     3         C8        2522298      1722298      0      -
      2836.589975426     3         C1          26968        24968      1      1
      2836.590047128     3         C6         590978       390978      0      -
      2836.590680864     3         C8        2556318      1756318      0      -
      2836.593370136     3         C6         563327       363327      0      -
      2836.593957788     3         C8        3287984      2487984      0      -
      2836.597265755     3         C8        1330006       530006      0      -
      2836.598671220     3         C8        1497605       697605      0      -
      2836.600234302     3         C6         331470       131470      0      -
      2836.600596791     3         C8        1627496       827496      0      -
      2836.602268457     3         C8        1629678       829678      0      -
      2836.603918393     3         C8        3319412      2519412      0      -
      2836.607298820     3         C3         229014       129014      0      -
      2836.607598784     3         C8        1179491       379491      0      -
      2836.608846877     3         C8        1719147       919147      0      -
      2836.610601329     3         C8        1692921       892921      0      -
      2836.612359164     3         C8        1370627       570627      0      -
      2836.613736731     3         C8          52507      -747493      1      0
      2836.613795427     3         C8          36658      -763342      1      0
      2836.613920206     3         C8        3376539      2576539      0      -
      2836.617315422     3         C8        2464301      1664301      0      -
      2836.619856108     3         C6         772723       572723      0      -
      2836.620646870     3         C8        3317220      2517220      0      -
      2836.623984938     3         C6         756154       556154      0      -
      2836.624852784     3         C8        2406570      1606570      0      -
      2836.627278493     3         C6         310405       110405      0      -
      2836.627666050     3         C6         556627       356627      0      -
      2836.628291559     3         C8        1978308      1178308      0      -
      2836.630339129     3         C6         252023        52023      0      -
      2836.630610082     3         C8        2835283      2035283      0      -
      2836.633519578     3         C6         377793       177793      0      -
      2836.633912844     3         C8        3367883      2567883      0      -
      2836.637319795     3         C8        2167514      1367514      0      -
      2836.639592219     3         C6         753597       553597      0      -
      2836.640434960     3         C3          56652       -43348      1      0
      2836.640499980     3         C3          60114       -39886      1      0
      2836.640580251     3         C8        3535566      2735566      0      -
      2836.644240655     3         C8        3020953      2220953      0      -
      2836.647282662     3         C8        1270810       470810      0      -
      2836.648666355     3         C8        1958989      1158989      0      -
      2836.650686699     3         C8        1321432       521432      0      -
      2836.652094499     3         C8        1869040      1069040      0      -
      2836.653982004     3         C8        3347344      2547344      0      -
      2836.657449319     3         C8        3440412      2640412      0      -
      2836.661007471     3        C10        6157458      1157458      0      -
      2836.667305453     3         C8        3295158      2495158      0      -
      2836.670626452     3         C6         418647       218647      0      -
      2836.671146347     3         C8        2826507      2026507      0      -
      2836.674015719     3         C6         754183       554183      0      -
      2836.674867258     3         C8        2448005      1648005      0      -
      2836.677343346     3         C3         279476       179476      1      1
      2836.677741892     3         C8        3111458      2311458      0      -
      2836.680882518     3         C6         535760       335760      0      -
      2836.681542454     3         C8        2568543      1768543      0      -
      2836.684254198     3         C8        3038080      2238080      0      -
      2836.687315423     3         C6         491969       291969      0      -
      2836.687900548     3         C8        2036575      1236575      0      -
      2836.690052137     3         C6         599213       399213      0      -
      2836.690672870     3         C6         602380       402380      0      -
      2836.691356555     3         C8        1402293       602293      0      -
      2836.692870745     3         C8        1085646       285646      0      -
      2836.693996641     3         C8        2768739      1968739      0      -
      2836.696916630     3         C6         388230       188230      0      -
      2836.697347675     3         C8        3513741      2713741      0      -
      2836.700979561     3         C8        3160789      2360789      0      -
      2836.704260308     3         C6         635413       435413      0      -
      2836.704991256     3         C8        2573420      1773420      0      -
      2836.707593527     3         C8        2295998      1495998      0      -
      2836.710004041     3        C10        5303191       303191      0      -
      2836.715399933     3        C10        5752842       752842      0      -
      2836.721271955     3         C8        2663994      1863994      0      -
      2836.723960979     3         C8        2741060      1941060      0      -
      2836.726818365     3        C10        5742466       742466      0      -
      2836.732683274     3        C10        5560413       560413      0      -
      2836.738359333     3         C8        2206729      1406729      0      -
      2836.740587459     3         C8        1032170       232170      0      -
      2836.741716347     3         C8        2222476      1422476      0      -
      2836.743970053     3         C3          49551       -50449      1      0
      2836.744027442     3        C1E          55815        35815      0      -
      2836.744163224     3         C8        3102279      2302279      0      -
      2836.747299340     3         C8        1156426       356426      0      -
      2836.748567689     3         C8        1716098       916098      0      -
      2836.750368618     3         C3         205969       105969      0      -
      2836.750591006     3         C8        3349067      2549067      0      -
      2836.753971133     3         C8        1336130       536130      0      -
      2836.755406666     3         C8        1826671      1026671      0      -
      2836.757278165     3         C8        1198023       398023      0      -
      2836.758564406     3         C8        1967465      1167465      0      -
      2836.760667990     3         C8        3234080      2434080      0      -
      2836.763936991     3         C8        2124696      1324696      0      -
      2836.766179255     3         C8        1051382       251382      0      -
      2836.767248870     3         C8        2486238      1686238      0      -
      2836.769819853     3        C10        5734474       734474      0      -
      2836.775704234     3         C8        1523799       723799      0      -
      2836.777241106     3         C8        1908963      1108963      0      -
      2836.779160114     3         C8          39640      -760360      1      0
      2836.779296111     3         C8        1266091       466091      0      -
      2836.780586339     3         C8        1470469       670469      0      -
      2836.782277059     3         C8        1619071       819071      0      -
      2836.783909160     3         C8        2261626      1461626      0      -
      2836.786175639     3         C8          46588      -753412      1      0
      2836.786226176     3         C8          24377      -775623      1      0
      2836.786406178     3         C8         870494        70494      0      -
      2836.787324678     3         C8        3237253      2437253      0      -
      2836.790574535     3         C8        1800176      1000176      0      -
      2836.792407230     3         C8        1484271       684271      0      -
      2836.793897085     3         C8        3335478      2535478      0      -
      2836.797245733     3         C6         717513       517513      0      -
      2836.798111293     3         C8        2451378      1651378      0      -
      2836.800572043     3         C8        2321668      1521668      0      -
      2836.802943390     3         C6         535542       335542      0      -
      2836.803497185     3         C6         395411       195411      0      -
      2836.803901022     3         C8        3359134      2559134      0      -
      2836.807388803     3         C8        2999919      2199919      0      -
      2836.810659954     3         C8        3241609      2441609      0      -
      2836.813916456     3         C6         464659       264659      0      -
      2836.814452029     3         C8        2780346      1980346      0      -
      2836.817247564     3         C8        2313042      1513042      0      -
      2836.819650624     3         C8         959316       159316      0      -
      2836.820671425     3         C6         560031       360031      0      -
      2836.821543770     3         C8        2353504      1553504      0      -
      2836.823912232     3         C8        2024583      1224583      0      -
      2836.826017175     3         C6         774099       574099      0      -
      2836.826824510     3         C6         401452       201452      0      -
      2836.827239153     3         C6         982900       782900      1      1
      2836.828250823     3         C8        2317548      1517548      0      -
      2836.830591798     3         C8        2474498      1674498      0      -
      2836.833143144     3         C6         785445       585445      0      -
      2836.833956687     3         C8        1255082       455082      0      -
      2836.835321573     3         C8        1931598      1131598      0      -
      2836.837290417     3         C8        3011200      2211200      0      -
      2836.840556705     3         C1           4915         2915      0      -
      2836.840581916     3         C6         606763       406763      0      -
      2836.841407732     3         C6         926992       726992      1      1
      2836.842392905     3         C8        1612387       812387      0      -
      2836.844030165     3         C8        2605158      1805158      0      -
      2836.846850482     3         C6         268608        68608      0      -
      2836.847200678     3        C1E          23632         3632      0      -
      2836.847235620     3         C8        3330953      2530953      0      -
      2836.850582685     3        C1E          89797        69797      0      -
      2836.850787627     3         C8        3135317      2335317      0      -
      2836.853966903     3         C8        2345875      1545875      0      -
      2836.856518960     3         C6         721123       521123      0      -
      2836.857287243     3         C8        2473445      1673445      0      -
      2836.859853113     3         C6         706008       506008      0      -
