          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      3840.869006648     3         C3        1071371       371371      0      -
      3840.876592891     3         C3          38800      -661200      1      0
      3840.876640191     3         C3        1070791       370791      0      -
      3840.877719212     3         C3         921670       221670      0      -
      3840.878672522     3         C2         533660       497660      0      -
      3840.879212182     3         C3        3327792      2627792      0      -
      3840.882544904     3         C2          93780        57780      0      -
      3840.882652444     3         C3        3220481      2520481      0      -
      3840.885878285     3         C3        2820381      2120381      0      -
      3840.888709856     3         C2          46950        10950      0      -
      3840.888766656     3         C2         325751       289751      0      -
      3840.889103237     3         C2         103630        67630      0      -
      3840.889211817     3         C3        3327661      2627661      0      -
      3840.892560488     3         C3        2252971      1552971      0      -
      3840.894824469     3         C3         989420       289420      0      -
      3840.895837300     3         C1          35820        33820      0      -
      3840.895875930     3         C3         105170      -594830      1      0
      3840.895996970     3         C3         112020      -587980      1      0
      3840.896139530     3         C3          91650      -608350      1      0
      3840.896254650     3         C3         143090      -556910      1      0
      3840.896408250     3         C3          69370      -630630      1      0
      3840.896490420     3         C2        2716101      2680101      1      1
      3840.899212881     3         C2        1658681      1622681      1      1
      3840.900884532     3         C2        1655200      1619200      1      1
      3840.902542862     3         C3        3330382      2630382      0      -
      3840.905883154     3         C2        1048470      1012470      1      1
      3840.906940364     3         C3        2266021      1566021      0      -
      3840.909223445     3         C3        3316602      2616602      0      -
      3840.912545077     3         C2         443200       407200      0      -
      3840.913002297     3         C3        6045942      5345942      0      -
      3840.919059979     3         C3        6272193      5572193      0      -
      3840.925393932     3         C1          39420        37420      1      1
      3840.925444952     3         C2          46680        10680      0      -
      3840.925502762     3         C3        6054483      5354483      0      -
      3840.931602295     3         C1          42550        40550      1      1
      3840.931656555     3         C2          46450        10450      0      -
      3840.931713915     3         C3        5224152      4524152      0      -
      3840.936962277     3         C2         801880       765880      1      1
      3840.937779267     3         C2          46390        10390      0      -
      3840.937833747     3         C3         467781      -232219      1      0
      3840.938329238     3         C3         109350      -590650      1      0
      3840.938452478     3         C3          87900      -612100      1      0
      3840.938566778     3         C2          98040        62040      0      -
      3840.938687558     3         C2          22870       -13130      1      0
      3840.938720148     3         C2          71080        35080      0      -
      3840.938800078     3         C2          44640         8640      0      -
      3840.938854878     3         C1           8090         6090      0      -
      3840.938870898     3         C1         335640       333640      1      1
      3840.939211868     3         C1        3327851      3325851      1      1
      3840.942543949     3         C2        1336611      1300611      1      1
      3840.943889580     3         C2          47570        11570      0      -
      3840.943944340     3         C1          47670        45670      1      1
      3840.943999470     3         C3        1873731      1173731      0      -
      3840.945877211     3         C3        3329121      2629121      0      -
      3840.949211412     3         C2         835751       799751      1      1
      3840.950055443     3         C3        6046792      5346792      0      -
      3840.956114495     3         C2          46850        10850      0      -
      3840.956172185     3         C3        6045373      5345373      0      -
      3840.962230328     3         C3        6045232      5345232      0      -
      3840.968286180     3         C3        5456873      4756873      0      -
      3840.973777793     3         C2         554480       518480      0      -
      3840.974346663     3         C1          46630        44630      1      1
      3840.974404473     3         C3        6052963      5352963      0      -
      3840.980481006     3         C3         626280       -73720      1      0
      3840.981140956     3         C3         125840      -574160      1      0
      3840.981286296     3         C3         110220      -589780      1      0
      3840.981422336     3         C3          82110      -617890      1      0
      3840.981522866     3         C3         140240      -559760      1      0
      3840.981672686     3         C3          42750      -657250      1      0
      3840.981727016     3         C2         812680       776680      1      1
      3840.982544756     3         C3        3328522      2628522      0      -
      3840.985877118     3         C2         647210       611210      0      -
      3840.986537958     3         C3        2668561      1968561      0      -
      3840.989209189     3         C3        3330612      2630612      0      -
      3840.992559161     3         C1          40840        38840      1      1
      3840.992610171     3         C2          47110        11110      0      -
      3840.992665751     3         C2          47270        11270      0      -
      3840.992722531     3         C3        6045962      5345962      0      -
      3840.998780733     3         C1          46810        44810      1      1
      3840.998838523     3         C3         625931       -74069      1      0
      3840.999484224     3         C3        3055621      2355621      0      -
      3841.002544895     3         C3        2339361      1639361      0      -
      3841.004894696     3         C3        6051273      5351273      0      -
      3841.010961339     3         C2          46440        10440      0      -
      3841.011015859     3         C3        6053672      5353672      0      -
      3841.017091641     3         C1          44270        42270      1      1
      3841.017147131     3         C2          46670        10670      0      -
      3841.017202601     3         C2          47110        11110      0      -
      3841.017257931     3         C1          47210        45210      1      1
      3841.017314201     3         C2          47230        11230      0      -
      3841.017370131     3         C1        1836531      1834531      1      1
      3841.019214622     3         C1        3325391      3323391      1      1
      3841.022543853     3         C2         873371       837371      1      1
      3841.023423454     3         C2          47940        11940      0      -
      3841.023476974     3         C1          48000        46000      1      1
      3841.023531724     3         C3         159210      -540790      1      0
      3841.023708194     3         C3         133690      -566310      1      0
      3841.023855274     3         C3         120720      -579280      1      0
      3841.023989384     3         C3          79190      -620810      1      0
      3841.024082704     3         C2         135570        99570      0      -
      3841.024226564     3         C2          62350        26350      0      -
      3841.024298944     3         C2        1574281      1538281      1      1
      3841.025879205     3         C2        3327761      3291761      1      1
      3841.029211236     3         C2         368230       332230      0      -
      3841.029590176     3         C3        2949452      2249452      0      -
      3841.032542148     3         C3        3094881      2394881      0      -
      3841.035645959     3         C2          47240        11240      0      -
      3841.035702239     3         C3        6046003      5346003      0      -
      3841.041759412     3         C3        6053012      5353012      0      -
      3841.047834454     3         C1          44270        42270      1      1
      3841.047891504     3         C3        6271943      5571943      0      -
      3841.054224087     3         C1          40000        38000      1      1
      3841.054277177     3         C3        6269933      5569933      0      -
      3841.060629700     3         C3        5714162      5014162      0      -
      3841.066392882     3         C2         169570       133570      0      -
      3841.066598762     3         C2          48890        12890      0      -
      3841.066680752     3         C1          44800        42800      1      1
      3841.066737642     3         C3          38550      -661450      1      0
      3841.066813612     3         C3          77460      -622540      1      0
      3841.066913882     3         C3         138750      -561250      1      0
      3841.067063062     3         C3          44910      -655090      1      0
      3841.067119952     3         C2        2086681      2050681      1      1
      3841.069218093     3         C2        3321932      3285932      1      1
      3841.072543105     3         C2         240200       204200      0      -
      3841.072794955     3         C3        6045872      5345872      0      -
      3841.078851677     3         C2          47090        11090      0      -
      3841.078907857     3         C3        6223483      5523483      0      -
      3841.085153730     3         C1          44270        42270      1      1
      3841.085208810     3         C2          47450        11450      0      -
      3841.085265070     3         C2          47220        11220      0      -
      3841.085320670     3         C1          47290        45290      1      1
      3841.085378040     3         C3        6228083      5528083      0      -
      3841.091629863     3         C3        6050292      5350292      0      -
      3841.097702225     3         C1          44220        42220      1      1
      3841.097757635     3         C2          46650        10650      0      -
      3841.097813365     3         C1          46971        44971      1      1
      3841.097869356     3         C2          47230        11230      0      -
      3841.097924836     3         C2          47270        11270      0      -
      3841.097980296     3         C1          47160        45160      1      1
      3841.098036606     3         C2        1169660      1133660      1      1
      3841.099211196     3         C2         177820       141820      0      -
      3841.099437476     3         C2        3102582      3066582      1      1
      3841.102544408     3         C3        1539020       839020      0      -
      3841.104091118     3         C3        4965292      4265292      0      -
      3841.109089130     3         C2         112990        76990      0      -
      3841.109225250     3         C3         107910      -592090      1      0
      3841.109351370     3         C2          75170        39170      0      -
      3841.109444510     3         C2         131321        95321      0      -
      3841.109587491     3         C2          61780        25780      0      -
      3841.109664361     3         C2         474200       438200      0      -
      3841.110147921     3         C2          47920        11920      0      -
      3841.110202021     3         C2          47980        11980      0      -
      3841.110256951     3         C3        5313982      4613982      0      -
      3841.115583013     3         C2          71480        35480      0      -
      3841.115737513     3         C2         135990        99990      0      -
      3841.115884473     3         C2         416640       380640      0      -
      3841.116319633     3         C3        6044053      5344053      0      -
      3841.122375946     3         C3        6045953      5345953      0      -
