          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      3863.279252839     3         C3         869871       169871      0      -
      3863.286446422     3         C2         679181       643181      0      -
      3863.287163913     3         C2          29930        -6070      1      0
      3863.287210833     3         C2         121400        85400      0      -
      3863.287348963     3         C2          28470        -7530      1      0
      3863.287392033     3         C2          65540        29540      0      -
      3863.287470743     3         C2          63640        27640      0      -
      3863.287548723     3         C2        1689161      1653161      1      1
      3863.289244074     3         C2         702720       666720      0      -
      3863.289955724     3         C2          28070        -7930      1      0
      3863.289992924     3         C2        2498481      2462481      1      1
      3863.292501485     3         C2          69520        33520      0      -
      3863.292573535     3         C3        3165001      2465001      0      -
      3863.295761046     3         C1          65340        63340      1      1
      3863.295838796     3         C2          10150       -25850      1      0
      3863.295871436     3         C1          31500        29500      0      -
      3863.295931026     3         C3         115200      -584800      1      0
      3863.296067846     3         C3          43661      -656339      1      0
      3863.296124227     3         C2           5120       -30880      1      0
      3863.296141657     3         C2         125310        89310      0      -
      3863.296280957     3         C2         477790       441790      0      -
      3863.296766037     3         C2          22110       -13890      1      0
      3863.296798907     3         C1        1554260      1552260      1      1
      3863.298359547     3         C1          16970        14970      0      -
      3863.298387927     3         C1          48130        46130      1      1
      3863.298445478     3         C1           5090         3090      0      -
      3863.298459258     3         C2          90310        54310      0      -
      3863.298558258     3         C1          48020        46020      1      1
      3863.298612738     3         C2         625180       589180      0      -
      3863.299241568     3         C3        3329821      2629821      0      -
      3863.302574769     3         C3        2086241      1386241      0      -
      3863.304670280     3         C2        1234141      1198141      1      1
      3863.305908121     3         C3        3329511      2629511      0      -
      3863.309257302     3         C3        1460571       760571      0      -
      3863.310725873     3         C3        6053702      5353702      0      -
      3863.316804435     3         C3        6267903      5567903      0      -
      3863.323137558     3         C3         442420      -257580      1      0
      3863.323615388     3         C3          93880      -606120      1      0
      3863.323768088     3         C3         182840      -517160      1      0
      3863.323967978     3         C3        1936531      1236531      0      -
      3863.325918169     3         C3        3263962      2563962      0      -
      3863.329221411     3         C3        6052882      5352882      0      -
      3863.335351343     3         C1          21880        19880      0      -
      3863.335384243     3         C1          46550        44550      1      1
      3863.335444013     3         C3        1482321       782321      0      -
      3863.336955454     3         C3          71410      -628590      1      0
      3863.337061834     3         C3        1403891       703891      0      -
      3863.338494645     3         C3          34070      -665930      1      0
      3863.338539265     3         C2           4080       -31920      1      0
      3863.338553325     3         C2          93800        57800      0      -
      3863.338671855     3         C2         193440       157440      0      -
      3863.338880755     3         C2           3070       -32930      1      0
      3863.338896015     3         C2          43020         7020      0      -
      3863.338947265     3         C2         113840        77840      0      -
      3863.339071065     3         C2         167060       131060      0      -
      3863.339245425     3         C2        2242711      2206711      1      1
      3863.341519586     3         C1          45560        43560      1      1
      3863.341575076     3         C2          47220        11220      0      -
      3863.341630876     3         C3         940520       240520      0      -
      3863.342574926     3         C3        3329502      2629502      0      -
      3863.345908208     3         C3        1770040      1070040      0      -
      3863.347687598     3         C2          47290        11290      0      -
      3863.347743248     3         C3        1494851       794851      0      -
      3863.349241119     3         C3        3329982      2629982      0      -
      3863.352576141     3         C3        1213890       513890      0      -
      3863.353796041     3         C2          48030        12030      0      -
      3863.353850451     3         C1          47980        45980      1      1
      3863.353906111     3         C3        2919821      2219821      0      -
      3863.356838892     3         C3         210710      -489290      1      0
      3863.357071062     3         C3          24590      -675410      1      0
      3863.357105682     3         C3           8440      -691560      1      0
      3863.357125592     3         C3         105361      -594639      1      0
      3863.357247973     3         C3        1990140      1290140      0      -
      3863.359241613     3         C2         711461       675461      0      -
      3863.359959544     3         C3        2611901      1911901      0      -
      3863.362574855     3         C3        3329751      2629751      0      -
      3863.365908976     3         C2          98560        62560      0      -
      3863.366016376     3         C2          47280        11280      0      -
      3863.366071726     3         C3        3166302      2466302      0      -
      3863.369241618     3         C3        2877011      2177011      0      -
      3863.372128679     3         C3        4980922      4280922      0      -
      3863.377121151     3         C2          30260        -5740      1      0
      3863.377166531     3         C2        1007950       971950      1      1
      3863.378181891     3         C3        3053892      2353892      0      -
      3863.381255153     3         C3          52640      -647360      1      0
      3863.381321773     3         C3          49400      -650600      1      0
      3863.381385123     3         C3         177440      -522560      1      0
      3863.381581093     3         C3          38400      -661600      1      0
      3863.381633153     3         C3          40640      -659360      1      0
      3863.381686633     3         C3          82910      -617090      1      0
      3863.381779993     3         C2         791430       755430      1      1
      3863.382576473     3         C2        1652291      1616291      1      1
      3863.384236544     3         C2          47980        11980      0      -
      3863.384290234     3         C3        1614981       914981      0      -
      3863.385908715     3         C3        3329421      2629421      0      -
      3863.389242876     3         C2         915951       879951      1      1
      3863.390166587     3         C2         171660       135660      0      -
      3863.390346517     3         C3          19600      -680400      1      0
      3863.390378247     3         C3          57940      -642060      1      0
      3863.390449317     3         C3          43100      -656900      1      0
      3863.390502097     3         C3        2069121      1369121      0      -
      3863.392573688     3         C3        3330711      2630711      0      -
      3863.395908859     3         C2         484380       448380      0      -
      3863.396402519     3         C3        2835681      2135681      0      -
      3863.399241490     3         C3        3208092      2508092      0      -
      3863.402466352     3         C1          39170        37170      1      1
      3863.402514662     3         C2          47330        11330      0      -
      3863.402570082     3       POLL           9060         9060      1      1
      3863.402586672     3         C3        6045942      5345942      0      -
      3863.408642744     3         C1          47200        45200      1      1
      3863.408699634     3         C3        6053363      5353363      0      -
      3863.414777157     3         C3        2460201      1760201      0      -
      3863.417249908     3         C3          30570      -669430      1      0
      3863.417294778     3         C3        1948481      1248481      0      -
      3863.419251029     3         C3        1576151       876151      0      -
      3863.420847750     3         C1          44180        42180      1      1
      3863.420905290     3         C3        2664671      1964671      0      -
      3863.423587421     3         C3         326670      -373330      1      0
      3863.423937891     3         C3          21570      -678430      1      0
      3863.423982721     3         C3          10150      -689850      1      0
      3863.424004091     3         C3          20750      -679250      1      0
      3863.424041731     3         C3           9410      -690590      1      0
      3863.424067701     3         C3         142890      -557110      1      0
      3863.424227321     3         C3          49940      -650060      1      0
      3863.424289391     3         C2         128100        92100      0      -
      3863.424430121     3         C2        1474411      1438411      1      1
      3863.425909472     3         C2        1040350      1004350      1      1
      3863.426959622     3         C1          47820        45820      1      1
      3863.427013952     3         C2          48020        12020      0      -
      3863.427067772     3         C2          48080        12080      0      -
      3863.427121352     3         C1          48010        46010      1      1
      3863.427175182     3         C2          48070        12070      0      -
      3863.427228852     3         C3        2009071      1309071      0      -
      3863.429241383     3         C3        3329712      2629712      0      -
      3863.432576025     3         C2         701230       665230      0      -
      3863.433293375     3         C1          39910        37910      1      1
      3863.433342035     3         C2          47250        11250      0      -
      3863.433397555     3         C3        2506891      1806891      0      -
      3863.435907736     3         C3        3330541      2630541      0      -
      3863.439242987     3         C2         202211       166211      0      -
      3863.439456298     3         C3        6045312      5345312      0      -
      3863.445511770     3         C1          47200        45200      1      1
      3863.445568750     3         C3        6053423      5353423      0      -
      3863.451646283     3         C3        6001382      5301382      0      -
      3863.457682965     3         C1           5540         3540      0      -
      3863.457720305     3         C1          41510        39510      1      1
      3863.457807725     3         C3          20130      -679870      1      0
      3863.457869095     3         C3         138790      -561210      1      0
      3863.458020945     3         C3        1217031       517031      0      -
      3863.459246426     3         C3        3495041      2795041      0      -
      3863.462747067     3         C3        1110771       410771      0      -
      3863.463872528     3         C2          46330        10330      0      -
      3863.463927508     3         C3        2722861      2022861      0      -
      3863.466684339     3         C3         133420      -566580      1      0
      3863.466851699     3         C3         170490      -529510      1      0
      3863.467036579     3         C3          80850      -619150      1      0
      3863.467126259     3         C3         132020      -567980      1      0
      3863.467267839     3         C3        1970391      1270391      0      -
      3863.469244190     3         C2         729631       693631      1      1
      3863.469983401     3         C3        2587771      1887771      0      -
      3863.472574292     3         C3        3330251      2630251      0      -
      3863.475907913     3         C2         123250        87250      0      -
      3863.476037793     3         C2          48010        12010      0      -
      3863.476091743     3         C3        3146651      2446651      0      -
      3863.479242284     3         C3        2897862      2197862      0      -
      3863.482151016     3         C3        6045312      5345312      0      -
      3863.488206788     3         C1          46890        44890      1      1
      3863.488263588     3         C3        2087661      1387661      0      -
      3863.490364109     3         C3          29270      -670730      1      0
      3863.490412479     3         C3         100310      -599690      1      0
      3863.490531919     3         C3        2039551      1339551      0      -
      3863.492575390     3         C3        1734071      1034071      0      -
      3863.494316241     3         C2          47810        11810      0      -
      3863.494369671     3         C2          48030        12030      0      -
      3863.494423341     3         C1          47880        45880      1      1
      3863.494477331     3         C2          48070        12070      0      -
      3863.494531041     3         C1        1373811      1371811      1      1
      3863.495907752     3         C3        2007420      1307420      0      -
      3863.497925812     3         C3         105520      -594480      1      0
      3863.498046572     3         C3        1191601       491601      0      -
      3863.499241363     3         C2        1337981      1301981      1      1
      3863.500592054     3         C3        1979480      1279480      0      -
      3863.502574824     3         C3        2881222      2181222      0      -
      3863.505470506     3         C2         434800       398800      0      -
      3863.505908746     3         C2         725580       689580      1      1
      3863.506642846     3         C2          48040        12040      0      -
      3863.506696606     3         C1          48020        46020      1      1
      3863.506750496     3         C2          48080        12080      0      -
      3863.506804036     3         C2          48050        12050      0      -
      3863.506857556     3         C1          47990        45990      1      1
      3863.506911596     3         C2          48060        12060      0      -
      3863.506965216     3         C1        2266751      2264751      1      1
      3863.509250107     3         C1          21370        19370      0      -
      3863.509280017     3         C1          79190        77190      1      1
      3863.509373717     3         C2         165620       129620      0      -
      3863.509551337     3         C2           2990       -33010      1      0
      3863.509567317     3         C3          55170      -644830      1      0
      3863.509631057     3         C3          86420      -613580      1      0
      3863.509726497     3         C3        2844972      2144972      0      -
      3863.512575389     3         C2         438290       402290      0      -
      3863.513025319     3         C3        2879691      2179691      0      -
      3863.515910580     3         C3        3161751      2461751      0      -
      3863.519081701     3         C1          47130        45130      1      1
      3863.519137531     3         C2          47350        11350      0      -
      3863.519193001     3         C2          45561         9561      0      -
      3863.519242082     3         C3        3329651      2629651      0      -
      3863.522576263     3         C3        1186120       486120      0      -
      3863.523770043     3         C3          44020      -655980      1      0
      3863.523828433     3         C2           3610       -32390      1      0
      3863.523839213     3         C2           9800       -26200      1      0
      3863.523855453     3         C2          69860        33860      0      -
      3863.523934064     3         C2        1305770      1269770      1      1
      3863.525246904     3         C2         657910       621910      0      -
      3863.525907284     3         C3        3330642      2630642      0      -
      3863.529242706     3         C3        2052751      1352751      0      -
      3863.531305777     3         C3        6045282      5345282      0      -
      3863.537362519     3         C3         877411       177411      0      -
      3863.538247710     3         C3          59750      -640250      1      0
