          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      3885.670140692     3         C3         965971       265971      0      -
      3885.677607086     3         C3           6850      -693150      1      0
      3885.677640296     3         C1         509660       507660      1      1
      3885.678192276     3         C2          21690       -14310      1      0
      3885.678227606     3         C2          92170        56170      0      -
      3885.678359796     3         C2          28190        -7810      1      0
      3885.678402826     3         C2         140330       104330      0      -
      3885.678559076     3         C2          27790        -8210      1      0
      3885.678601986     3         C2          63960        27960      0      -
      3885.678679046     3         C2          63870        27870      0      -
      3885.678757826     3         C2         511290       475290      0      -
      3885.679274066     3         C3        3328762      2628762      0      -
      3885.682606358     3         C2        1045450      1009450      1      1
      3885.683662388     3         C3        2273881      1573881      0      -
      3885.685940759     3         C3        3328571      2628571      0      -
      3885.689272130     3         C2         438421       402421      0      -
      3885.689720541     3         C2          47380        11380      0      -
      3885.689777441     3         C3        2825091      2125091      0      -
      3885.692606672     3         C3        3216871      2516871      0      -
      3885.695833553     3         C2         102520        66520      0      -
      3885.695940153     3         C3         230610      -469390      1      0
      3885.696193113     3         C3         214901      -485099      1      0
      3885.696423414     3         C3        2846101      2146101      0      -
      3885.699275025     3         C3        2606171      1906171      0      -
      3885.701891846     3         C2         710960       674960      0      -
      3885.702606696     3         C3        3329252      2629252      0      -
      3885.705946628     3         C3        1992570      1292570      0      -
      3885.707954688     3         C3        1314551       614551      0      -
      3885.709271619     3         C3        3331501      2631501      0      -
      3885.712609120     3         C3        1387661       687661      0      -
      3885.714004741     3         C3        1931241      1231241      0      -
      3885.715949922     3         C3        3319591      2619591      0      -
      3885.719272523     3         C2         780611       744611      1      1
      3885.720065394     3         C3        6052642      5352642      0      -
      3885.726155216     3         C1          44260        42260      1      1
      3885.726208716     3         C2          47320        11320      0      -
      3885.726263826     3         C3        6282203      5582203      0      -
      3885.732605459     3       POLL          15280        15280      1      1
      3885.732629299     3         C1          46730        44730      1      1
      3885.732689459     3         C3        6066463      5366463      0      -
      3885.738800982     3         C1          44100        42100      1      1
      3885.738858162     3         C3         203880      -496120      1      0
      3885.739105232     3         C3         184190      -515810      1      0
      3885.739312452     3         C3          87930      -612070      1      0
      3885.739424402     3         C3         457610      -242390      1      0
      3885.739893982     3         C3        2709171      2009171      0      -
      3885.742609683     3         C3        2292861      1592861      0      -
      3885.744916404     3         C2          47180        11180      0      -
      3885.744973084     3         C2          47220        11220      0      -
      3885.745030444     3         C3        6045073      5345073      0      -
      3885.751083467     3         C3        6054392      5354392      0      -
      3885.757160589     3         C1          44260        42260      1      1
      3885.757218159     3         C3        6056673      5356673      0      -
      3885.763337422     3         C3        6047013      5347013      0      -
      3885.769445145     3         C3        6045322      5345322      0      -
      3885.775532697     3         C1          42920        40920      1      1
      3885.775589037     3         C3        5584343      4884343      0      -
      3885.781191470     3         C2         220410       184410      0      -
      3885.781441860     3         C2          86130        50130      0      -
      3885.781537340     3         C2          95640        59640      0      -
      3885.781655290     3         C3        6220402      5520402      0      -
      3885.787899662     3         C3        6047893      5347893      0      -
      3885.793962935     3         C2          46470        10470      0      -
      3885.794016665     3         C2          47560        11560      0      -
      3885.794070145     3         C2          47910        11910      0      -
      3885.794125165     3         C3        6284213      5584213      0      -
      3885.800473588     3         C1          38550        36550      1      1
      3885.800528348     3         C3        4745132      4045132      0      -
      3885.805299090     3         C2         642820       606820      0      -
      3885.805949610     3         C2         621230       585230      0      -
      3885.806601810     3         C3        6045383      5345383      0      -
      3885.812669343     3         C1          44200        42200      1      1
      3885.812726783     3         C3        6270873      5570873      0      -
      3885.819057236     3         C1          39380        37380      1      1
      3885.819107956     3         C2          46710        10710      0      -
      3885.819163476     3         C2          47180        11180      0      -
      3885.819218736     3         C1          47260        45260      1      1
      3885.819275876     3       POLL          10420        10420      1      1
      3885.819293256     3         C1        3309811      3307811      1      1
      3885.822606507     3         C1        1471101      1469101      1      1
      3885.824094138     3         C3         253100      -446900      1      0
      3885.824373248     3         C2         107690        71690      0      -
      3885.824490568     3         C2         117370        81370      0      -
      3885.824622998     3         C2         717430       681430      0      -
      3885.825350438     3         C1          47600        45600      1      1
      3885.825405588     3         C1          47690        45690      1      1
      3885.825462178     3         C3         778351        78351      0      -
      3885.826258609     3         C3        5249232      4549232      0      -
      3885.831519691     3         C3        1238921       538921      0      -
      3885.832842202     3         C3        3094241      2394241      0      -
      3885.835943193     3         C3        1623341       923341      0      -
      3885.837577154     3         C2          47280        11280      0      -
      3885.837634324     3         C3         698960        -1040      1      0
      3885.838348324     3         C3         921380       221380      0      -
      3885.839272854     3         C3        3330292      2630292      0      -
      3885.842607446     3         C3        1072460       372460      0      -
      3885.843687216     3         C3        6047363      5347363      0      -
      3885.849744719     3         C1          46960        44960      1      1
      3885.849798419     3         C3        6047362      5347362      0      -
      3885.855855671     3         C2          47280        11280      0      -
      3885.855912141     3         C3        6045843      5345843      0      -
      3885.861965754     3         C3        4717932      4017932      0      -
      3885.866695626     3         C3         144790      -555210      1      0
      3885.866856016     3         C3         143970      -556030      1      0
      3885.867008926     3         C2         105860        69860      0      -
      3885.867128316     3         C2         884581       848581      1      1
      3885.868022587     3         C2          47950        11950      0      -
      3885.868076907     3         C3        1192900       492900      0      -
      3885.869275067     3         C3        3099531      2399531      0      -
      3885.872389098     3         C2         214221       178221      0      -
      3885.872606039     3         C3        1518620       818620      0      -
      3885.874132319     3         C3        6046733      5346733      0      -
      3885.880190112     3         C1          47100        45100      1      1
      3885.880247282     3         C3        6045932      5345932      0      -
      3885.886303164     3         C2          47290        11290      0      -
      3885.886358564     3         C1          47240        45240      1      1
      3885.886414424     3         C2          47300        11300      0      -
      3885.886470324     3         C2          47390        11390      0      -
      3885.886526934     3         C3        6045913      5345913      0      -
      3885.892582467     3         C1          20970        18970      0      -
      3885.892608157     3         C1        3328401      3326401      1      1
      3885.895942548     3         C3        2694742      1994742      0      -
      3885.898658520     3         C1          44170        42170      1      1
      3885.898713630     3         C2          46670        10670      0      -
      3885.898769090     3         C1          47110        45110      1      1
      3885.898825100     3         C2          47350        11350      0      -
      3885.898880680     3         C1          47280        45280      1      1
      3885.898936520     3         C2          47370        11370      0      -
      3885.898992180     3         C2         277710       241710      0      -
      3885.899276680     3         C2        3326201      3290201      1      1
      3885.902606641     3         C2        2432481      2396481      1      1
      3885.905050502     3         C3        4248732      3548732      0      -
      3885.909312474     3         C3           2500      -697500      1      0
      3885.909328604     3         C3         167850      -532150      1      0
      3885.909518334     3         C3          79360      -620640      1      0
      3885.909608234     3         C3          90480      -609520      1      0
      3885.909709444     3         C2        1386201      1350201      1      1
      3885.911103515     3         C2          47950        11950      0      -
      3885.911157305     3         C1          47900        45900      1      1
      3885.911212235     3         C3        6047323      5347323      0      -
      3885.917271108     3         C3        6045882      5345882      0      -
      3885.923328100     3         C3        6053453      5353453      0      -
      3885.929405833     3         C3        6388882      5688882      0      -
      3885.935859045     3         C3        6038223      5338223      0      -
      3885.941947618     3         C1          38650        36650      1      1
      3885.941999338     3         C3         310890      -389110      1      0
      3885.942350668     3         C3        5700343      5000343      0      -
      3885.948090261     3         C1          43420        41420      1      1
      3885.948146901     3         C3        3835051      3135051      0      -
      3885.952063402     3         C2          77820        41820      0      -
      3885.952180852     3         C2          45140         9140      0      -
      3885.952251672     3         C2         248401       212401      0      -
      3885.952529343     3         C2          74150        38150      0      -
      3885.952615313     3         C2          34820        -1180      1      0
      3885.952660053     3         C2          95630        59630      0      -
      3885.952766813     3         C2        1424520      1388520      1      1
      3885.954218083     3         C3        1718331      1018331      0      -
      3885.955940094     3         C3        3337011      2637011      0      -
      3885.959286615     3         C2         977871       941871      1      1
      3885.960277216     3         C2          46900        10900      0      -
      3885.960331096     3         C2          47640        11640      0      -
      3885.960384616     3         C2          47990        11990      0      -
      3885.960438416     3         C3        2164921      1464921      0      -
      3885.962606767     3         C3        3337121      2637121      0      -
      3885.965954358     3         C2         532501       496501      0      -
      3885.966504489     3         C1          45000        43000      1      1
      3885.966560149     3         C2          46850        10850      0      -
      3885.966619729     3         C3        5285082      4585082      0      -
      3885.971933901     3         C2         669480       633480      0      -
      3885.972610801     3         C2          51900        15900      0      -
      3885.972688471     3         C1          46530        44530      1      1
      3885.972743621     3         C3        6046053      5346053      0      -
      3885.978801724     3         C3        6052982      5352982      0      -
      3885.984876716     3         C1          44260        42260      1      1
      3885.984932236     3         C2          46520        10520      0      -
      3885.984987856     3         C2          47120        11120      0      -
      3885.985043416     3         C1          47170        45170      1      1
      3885.985099526     3         C2          47340        11340      0      -
      3885.985155246     3         C1          47240        45240      1      1
      3885.985211136     3         C1          47231        45231      1      1
      3885.985266917     3         C2          47310        11310      0      -
      3885.985322307     3         C2          47360        11360      0      -
      3885.985377887     3         C1          47200        45200      1      1
      3885.985433777     3         C2         502490       466490      0      -
      3885.985941637     3         C2        3328361      3292361      1      1
      3885.989274098     3         C2        2206571      2170571      1      1
      3885.991490089     3         C2          47180        11180      0      -
      3885.991547389     3         C3        2840801      2140801      0      -
      3885.994429420     3         C3          61080      -638920      1      0
      3885.994511810     3         C3          82650      -617350      1      0
      3885.994613370     3         C3         181251      -518749      1      0
      3885.994823831     3         C3         119150      -580850      1      0
      3885.994956421     3         C3         108470      -591530      1      0
      3885.995080661     3         C3          78640      -621360      1      0
      3885.995172241     3         C2          92390        56390      0      -
      3885.995280361     3         C2         656160       620160      0      -
      3885.995940601     3         C2        1652451      1616451      1      1
      3885.997604592     3         C2          47100        11100      0      -
      3885.997659892     3         C1          47250        45250      1      1
      3885.997715722     3         C2          47370        11370      0      -
      3885.997771072     3         C1          47270        45270      1      1
      3885.997826882     3         C2          47410        11410      0      -
      3885.997882322     3         C2          47410        11410      0      -
      3885.997937622     3         C1        1332190      1330190      1      1
