          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      1133.783566920     0         C6         381289       181289      0      -
      1133.783677129     1         C3         310210       210210      1      1
      1133.783802135     2         C3         184651        84651      0      -
      1133.783998430     2         C8        3481068      2681068      0      -
      1133.783998857     1         C8        3481588      2681588      0      -
      1133.784027869     3         C6        3452567      3252567      1      1
      1133.784996405     0         C8        2483066      1683066      0      -
      1133.787510622     1         C8        3562571      2762571      0      -
      1133.787512155     2         C8           5565      -794435      1      0
      1133.787513311     0         C8        3560063      2760063      0      -
      1133.787513759     3         C8        3559442      2759442      0      -
      1133.787532645     2        C10       10204633      5204633      0      -
      1133.791116721     0         C8        3289277      2489277      0      -
      1133.791120597     3         C8        3285436      2485436      0      -
      1133.791147847     1         C8        3258134      2458134      0      -
      1133.794457386     0         C6         980680       780680      1      1
      1133.794457631     3         C8        3279494      2479494      0      -
      1133.794457639     1         C8        3279481      2479481      0      -
      1133.795500266     0         C8        2236979      1436979      0      -
      1133.797790343     3         C8        3279613      2479613      0      -
      1133.797790357     0         C8        3279363      2479363      0      -
      1133.797790402     1         C8        3279549      2479549      0      -
      1133.797808702     2        C10        9927310      4927310      0      -
      1133.801113282     3         C8        3290491      2490491      0      -
      1133.801119990     0         C8        3283870      2483870      0      -
      1133.801174745     1         C8        3229040      2429040      0      -
      1133.804445413     0         C8        3290534      2490534      0      -
      1133.804452269     1         C8        3283577      2483577      0      -
      1133.804455831     3         C8        3279996      2479996      0      -
      1133.807780452     3         C8        3286673      2486673      0      -
      1133.807780455     1         C8        3286650      2486650      0      -
      1133.807788526     0         C8        3278710      2478710      0      -
      1133.807804904     2        C10       89685672     84685672      0      -
      1133.811118965     1         C8        3286003      2486003      0      -
      1133.811119090     3         C8        3285880      2485880      0      -
      1133.811135243     0        C10        9822739      4822739      0      -
      1133.814454691     3        C10       83035978     78035978      0      -
      1133.814475408     1         C8        3261325      2461325      0      -
      1133.817783379     1         C8        3174895      2374895      0      -
      1133.821001037     1         C8        3380464      2580464      0      -
      1133.821060369     0        C10       25423777     20423777      0      -
      1133.824433145     1        C10      180055211    175055211      0      -
      1133.846580543     0        C10       25416772     20416772      0      -
      1133.872088530     0        C10       25402016     20402016      0      -
      1133.897555661     2        C10           9223     -4990777      1      0
      1133.897572231     3         C8        3444606      2644606      0      -
      1133.897588280     2        C10        6865432      1865432      0      -
      1133.897593295     0        C10       24030481     19030481      0      -
      1133.901059120     3         C8        3289349      2489349      0      -
      1133.904407073     3         C8        3281943      2481943      0      -
      1133.904565935     2        C10       96523766     91523766      0      -
      1133.907725198     3         C8        3301182      2501182      0      -
      1133.911068298     3        C10       89910934     84910934      0      -
      1133.921720526     0         C6         981902       781902      1      1
      1133.922799662     0        C10       25364466     20364466      0      -
