          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
     11762.047241370     0         C2         290121       254121      0      -
     11762.047304310     1         C3         229281      -470719      1      0
     11762.047372100     2         C3        1439037       739037      0      -
     11762.047437801     3         C3      303663425    302963425      0      -
     11762.047514821     4         C3       10233300      9533300      0      -
     11762.047552051     1         C3         372182      -327818      1      0
     11762.047590311     5         C3        3287637      2587637      0      -
     11762.047602852     0         C3        3202785      2502785      0      -
     11762.047619062     6         C3      303486384    302786384      0      -
     11762.047673332     7         C3        1101365       401365      0      -
     11762.047729112     8         C3      209062573    208362573      0      -
     11762.047788432     9         C3       13043604     12343604      0      -
     11762.047846123    10         C3      208908952    208208952      0      -
     11762.047978513    11         C3        2899405      2199405      0      -
     11762.048077514     1         C2         770724       734724      1      1
     11762.048812197     7         C3         541953      -158047      1      0
     11762.048855098     2         C3         516042      -183958      1      0
     11762.049229070     1         C2         168670       132670      0      -
     11762.049366720     7         C3       11465286     10765286      0      -
     11762.049402650     2         C3      207388905    206688905      0      -
     11762.049735762     1         C2        1066335      1030335      1      1
     11762.050810237     1         C3        3546508      2846508      0      -
     11762.050815817     0         C3        3540958      2840958      0      -
     11762.050887508    11         C3        3469267      2769267      0      -
     11762.050894558     5         C3        3462227      2762227      0      -
     11762.054374445     5         C2         777903       741903      1      1
     11762.054378225    11         C1          37770        35770      1      1
     11762.054378935     1         C3         102880      -597120      1      0
     11762.054393625     0         C3        3305336      2605336      0      -
     11762.054487965    11         C3        3211036      2511036      0      -
     11762.054522635     1         C3        3176326      2476326      0      -
     11762.055201869     5         C3       25264303     24564303      0      -
     11762.057715941     0         C3           9080      -690920      1      0
     11762.057715981    11         C3        3116055      2416055      0      -
     11762.057737141     1         C3          83141      -616859      1      0
     11762.057741221     0         C3        3090735      2390735      0      -
     11762.057831202     4         C3       43280281     42580281      0      -
     11762.057859832     1         C3        2972184      2272184      0      -
     11762.060854326     1         C3        3500888      2800888      0      -
     11762.060854366    11         C3        3500868      2800868      0      -
     11762.060864216     7         C3      195875669    195175669      0      -
     11762.060872166     9         C3       16500351     15800351      0      -
     11762.060973597     0         C3        3381637      2681637      0      -
     11762.064371904    11         C3        3314636      2614636      0      -
     11762.064371934     0         C3        3314336      2614336      0      -
     11762.064371974     1         C3        3314266      2614266      0      -
     11762.067709530    11         C3        3404877      2704877      0      -
     11762.067709560     1         C3        3404767      2704767      0      -
     11762.067723080     0         C3        3391277      2691277      0      -
     11762.071130857     1         C3        3224025      2524025      0      -
     11762.071130877    11         C3        3224065      2524065      0      -
     11762.071130887     0         C3        3223975      2523975      0      -
     11762.074376843    11         C3        3099515      2399515      0      -
     11762.074377013     0         C3        3099295      2399295      0      -
     11762.074377043     1         C3        3099265      2399265      0      -
     11762.077413167     9         C3       16713792     16013792      0      -
