          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
     15136.160075704     0        C10         435945     -4564055      1      0
     15136.160195250     1         C6        2367814      2167814      1      1
     15136.160319174     2         C8        2241870      1441870      0      -
     15136.160546812     3         C8        2016251      1216251      0      -
     15136.161579350     0         C6         981686       781686      1      1
     15136.162599220     2         C8        3293730      2493730      0      -
     15136.162599233     0         C8        3293709      2493709      0      -
     15136.162601000     1         C6        3291307      3091307      1      1
     15136.162611023     3         C8        3281280      2481280      0      -
     15136.165924115     3         C8        3528909      2728909      0      -
     15136.165924279     1         C8        3528734      2728734      0      -
     15136.165926567     0         C8        3526466      2726466      0      -
     15136.165936391     2        C10       10223568      5223568      0      -
     15136.169501413     3         C8        3286608      2486608      0      -
     15136.169501548     0         C8        3286757      2486757      0      -
     15136.169518442     1         C8        3269581      2469581      0      -
     15136.172835698     0         C8        3324083      2524083      0      -
     15136.172835803     1         C8        3324131      2524131      0      -
     15136.172835806     3         C8        3324121      2524121      0      -
     15136.176211654     0         C8        3280093      2480093      0      -
     15136.176211704     3         C8        3279985      2479985      0      -
     15136.176211743     1         C8        3279932      2479932      0      -
     15136.176230919     2        C10        9873692      4873692      0      -
     15136.179534105     3         C8        3290312      2490312      0      -
     15136.179534201     1         C8        3290205      2490205      0      -
     15136.179556324     0        C10      131537708    126537708      0      -
     15136.182876492     3         C8        1727040       927040      0      -
     15136.182894504     1         C8        3210312      2410312      0      -
     15136.184675039     3        C10       21430579     16430579      0      -
     15136.186146854     1         C8        3344805      2544805      0      -
     15136.186172928     2        C10       73285260     68285260      0      -
     15136.189558429     1         C8        3266673      2466673      0      -
     15136.192870822     1         C8        3286866      2486866      0      -
     15136.196203105     1         C8        3272392      2472392      0      -
     15136.199518951     1        C10       59938948     54938948      0      -
     15136.206192829     3         C8        3271567      2471567      0      -
     15136.209505189     3         C3         323230       223230      1      1
     15136.209896168     3        C10       25408841     20408841      0      -
     15136.235384920     3        C10       25335245     20335245      0      -
     15136.259543860     2        C10       75476373     70476373      0      -
     15136.259544189     1        C10      248108229    243108229      0      -
     15136.260802328     3        C10       25423264     20423264      0      -
     15136.286291358     3        C10       25247963     20247963      0      -
     15136.311171125     0        C10      161560101    156560101      0      -
     15136.311633680     3        C10       25326465     20326465      0      -
     15136.335118787     2        C10       15472216     10472216      0      -
     15136.337072358     3        C10       25365441     20365441      0      -
     15136.350729071     2        C10      122002118    117002118      0      -
     15136.362566603     3        C10       25338843     20338843      0      -
     15136.388024269     3        C10       25351654     20351654      0      -
     15136.413502966     3        C10       25322862     20322862      0      -
     15136.438959851     3        C10       25358033     20358033      0      -
     15136.464445384     3        C10        8388450      3388450      0      -
     15136.472847941     2        C10       34804667     29804667      0      -
     15136.472847976     0        C10       35146762     30146762      0      -
     15136.472974304     3        C10       16799272     11799272      0      -
     15136.489951723     3        C10       17700661     12700661      0      -
     15136.507895501     3        C10        1043320     -3956680      1      0
     15136.508022998     1         C6        1058926       858926      1      1
     15136.508129686     2         C6         927253       727253      1      1
     15136.509001223     0        C10          54885     -4945115      1      0
     15136.509064611     0        C10          39330     -4960670      1      0
     15136.509065529     2         C6          17050      -182950      1      0
     15136.509125008     1         C8        3303056      2503056      0      -
     15136.509144186     2         C8         498505      -301495      1      0
     15136.509149764     0        C10         515865     -4484135      1      0
     15136.509628493     3         C8         162846      -637154      1      0
     15136.509702153     0         C8          18793      -781207      1      0
     15136.509784074     2         C8         129017      -670983      1      0
     15136.509788711     0         C8         222703      -577297      1      0
     15136.510009728     3         C8          69833      -730167      1      0
     15136.510040268     0         C8         664223      -135777      1      0
     15136.510057221     2         C6         143125       -56875      1      0
     15136.510215944     3         C8         103414      -696586      1      0
     15136.510300236     2         C6         139925       -60075      1      0
     15136.510459069     3         C8         127034      -672966      1      0
     15136.510573413     2         C3         140503        40503      0      -
     15136.510776169     0         C8         111807      -688193      1      0
     15136.510804181     2        C1E          80250        60250      0      -
     15136.510909536     0         C8        1269988       469988      0      -
     15136.510989843     3         C8         112246      -687754      1      0
     15136.511105718     2         C8         517015      -282985      1      0
     15136.511878649     3         C6         245652        45652      0      -
     15136.512154028     2        C1E          95176        75176      0      -
     15136.512243988     0        C1E         128628       108628      1      1
     15136.512323268     2        C1E          71661        51661      0      -
     15136.512388626     0         C1          21538        19538      0      -
     15136.512462918     1         C8        1777845       977845      0      -
     15136.512501611     3         C8          11218      -788782      1      0
     15136.512519196     2        C1E          56902        36902      0      -
     15136.512519293     0         C8         559678      -240322      1      0
     15136.512606549     3         C8          60620      -739380      1      0
     15136.512639691     2        C1E         132020       112020      1      1
     15136.512821658     2        C1E          75690        55690      0      -
     15136.512948836     2        C1E          45303        25303      0      -
     15136.513036631     3        C1E           5507       -14493      1      0
     15136.513049501     2        C1E          40735        20735      0      -
     15136.513098436     0         C8         746115       -53885      1      0
     15136.513130038     3        C1E          20111          111      1      0
     15136.513168301     2        C1E          51832        31832      0      -
     15136.513329441     3         C6          23227      -176773      1      0
     15136.513385019     2        C1E         210655       190655      1      1
     15136.513731334     3         C1          12714        10714      0      -
     15136.513780863     2        C1E         601316       581316      1      1
     15136.513891329     0         C8          54094      -745906      1      0
     15136.513960294     0         C6          30589      -169411      1      0
     15136.514004376     0         C6          34278      -165722      1      0
     15136.514049618     0         C6        1039191       839191      1      1
     15136.514318019     1         C8         814104        14104      0      -
     15136.514500914     3         C1         478194       476194      1      1
     15136.514514211     2         C6        1309345      1109345      1      1
     15136.515105679     3         C1         641837       639837      1      1
     15136.515176264     0         C6         647249       447249      0      -
     15136.515195486     1         C3         551558       451558      1      1
     15136.515837846     1         C8        3248470      2448470      0      -
     15136.515854268     0         C8        3301955      2501955      0      -
     15136.515879846     2         C8        3276353      2476353      0      -
     15136.515881286     3         C1        3197178      3195178      1      1
     15136.519157934     1         C8        3322799      2522799      0      -
     15136.519158153     3         C6        3322573      3122573      1      1
     15136.519224919     2         C8        3254522      2454522      0      -
     15136.519262473     0        C10         491088     -4508912      1      0
     15136.519851718     0         C8        2034828      1234828      0      -
     15136.521912176     0        C10        1430102     -3569898      1      0
     15136.522511283     2        C10        1095431     -3904569      1      0
     15136.522525079     3        C10         927357     -4072643      1      0
     15136.522527038     1        C10         925406     -4074594      1      0
     15136.523392913     0        C10       16735240     11735240      0      -
     15136.523597801     1        C10      162727663    157727663      0      -
     15136.523664133     3        C10       16509275     11509275      0      -
     15136.523724964     2        C10      142160712    137160712      0      -
     15136.540174649     0        C10          22782     -4977218      1      0
     15136.540282603     0        C10       16508653     11508653      0      -
     15136.540318598     3         C3        2138200      2038200      1      1
     15136.542509449     3        C10       77013440     72013440      0      -
     15136.556831071     0         C9        8784842      3784842      1      1
     15136.565743968     0        C10          27736     -4972264      1      0
     15136.565798804     0        C10       25255012     20255012      0      -
     15136.591166001     0        C10       25322523     20322523      0      -
     15136.616648911     0         C8        2783643      1983643      0      -
     15136.619536816     0         C8        3229385      2429385      0      -
     15136.619594298     3        C10        3284048     -1715952      1      0
     15136.622814371     0        C10       19199575     14199575      0      -
     15136.622941284     3        C10       23159115     18159115      0      -
     15136.642125889     0        C10       22413534     17413534      0      -
     15136.646199611     3        C10       39904955     34904955      0      -
     15136.664722876     0         C6        1122435       922435      1      1
     15136.665889736     0         C8        1573925       773925      0      -
     15136.665935658     2        C10       10166223      5166223      0      -
     15136.667563024     0         C8        1863895      1063895      0      -
     15136.669463621     0         C8        3265972      2465972      0      -
     15136.672773296     0         C8        3328557      2528557      0      -
     15136.676150381     0         C8        3282313      2482313      0      -
     15136.676219574     2        C10       89629933     84629933      0      -
     15136.679488846     0        C10       13454938      8454938      0      -
     15136.686346339     3        C10       26425127     21425127      0      -
     15136.686364788     1         C8        3068958      2268958      0      -
     15136.689526351     1        C10       79984533     74984533      0      -
     15136.693054909     0        C10       25362490     20362490      0      -
     15136.712871612     3        C10      186566584    181566584      0      -
     15136.718547696     0        C10       25359400     20359400      0      -
     15136.744036584     0        C10       21367088     16367088      0      -
     15136.765508691     0         C6         340763       140763      0      -
     15136.765893542     0         C8        3524715      2724715      0      -
     15136.765927216     2        C10       69986986     64986986      0      -
     15136.769534232     0        C10       23234035     18234035      0      -
     15136.769536846     1        C10      130036751    125036751      0      -
     15136.792854274     0         C8        2054648      1254648      0      -
     15136.795011846     0        C10       25340860     20340860      0      -
     15136.820473346     0        C10       25338005     20338005      0      -
     15136.836041726     2        C10       15471000     10471000      0      -
     15136.845921747     0        C10       22605189     17605189      0      -
     15136.851639379     2        C10       17584145     12584145      0      -
     15136.868649582     0         C6         513572       313572      0      -
     15136.869224582     0         C8        2034077      1234077      0      -
     15136.869263884     2         C8        2045950      1245950      0      -
     15136.871367667     0         C8        1341940       541940      0      -
     15136.871431304     2         C8        1278275       478275      0      -
     15136.872749816     0         C8        3351583      2551583      0      -
