            Comm      PID     Timers     Starts    Cancels    Expires Expires[Hz]  CPUs                
         unknown       -1        270     122761     122835      81327    1306.364  0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
     rcu_preempt       16       2985       2985       2985       2463      39.563  0,1,2,4,6,8,10,12,14,16,17,18,19,20,24,25
           kitty    34566       1241       1241       1240       1240      19.918  6,8,16,18,20        
 io-net-cpu-benc    37951        685        685        685        685      11.003  0,2,4,6,8,10,12,14,16,17,18,19,20
 io-net-cpu-benc    37936        661        661        661        661      10.618  0,2,4,6,8,10,12,14,16,17,18,19
 io-net-cpu-benc    37941        659        659        659        659      10.586  0,4,6,8,10,12,14,16,17,18
 io-net-cpu-benc    37931        657        657        657        657      10.553  0,2,4,6,8,10,12,14,15,16,17,18,19,24
 io-net-cpu-benc    37946        657        657        657        657      10.553  0,2,4,6,8,10,12,14,16,17,18,19
 io-net-cpu-benc    37944        442        442        427        427       6.859  0,1,2,4,6,8,10,11,12,14,16
 io-net-cpu-benc    37949        478        478        427        427       6.859  0,1,2,4,6,8,10,12,14,18,21
 io-net-cpu-benc    37940        431        431        420        420       6.747  0,2,4,5,6,8,10,12,14,16,17
 io-net-cpu-benc    37934        430        430        418        418       6.714  0,2,3,4,6,8,10,12,13,14,15,16
 io-net-cpu-benc    37935        435        435        418        418       6.714  0,2,4,6,8,9,10,12,14,15,16,17
 io-net-cpu-benc    37939        439        439        416        416       6.682  0,2,4,6,8,10,12,14,16
 io-net-cpu-benc    37929        427        427        414        414       6.650  0,2,4,6,8,10,12,14,15,16
 io-net-cpu-benc    37945        430        430        413        413       6.634  0,2,4,6,8,10,12,13,14,15,16
 io-net-cpu-benc    37950        426        426        409        409       6.570  0,1,2,4,6,8,9,10,12,14,16,17,18
 io-net-cpu-benc    37930        423        423        407        407       6.538  0,1,2,4,6,8,10,12,14,15,16
           gmain     2644      10045      10045      10045        240       3.855  0,22,23             
 io-net-cpu-benc    37947       2138       1554       1549        230       3.695  0,1,2,3,4,6,8,10,12,14
 io-net-cpu-benc    37937       2147       1576       1563        229       3.678  0,2,4,6,8,10,12,14,16
 io-net-cpu-benc    37942       2056       1487       1477        223       3.582  0,2,4,6,8,10,12,14,17,18,19
 io-net-cpu-benc    37932       2102       1511       1505        222       3.566  0,1,2,4,5,6,8,10,12,14,15,23
 io-net-cpu-benc    37952       2109       1538       1526        222       3.566  0,1,2,4,6,8,10,12,14,16,17,18
           hwrng      300        170        170        169        169       2.715  12                  
     gnome-shell     2404        843        837        830        143       2.297  0,2,4,6,8,9,10,12,14,16,17,20
           kitty     4204        684        684        683        134       2.152  0,2,4,6,8,10,12,14,16,17,18,19,20
      kcompactd0      247        122        122        121        121       1.944  0,2,4,6,8,10,16     
       atopacctd      999        106        106        105        105       1.687  26                  
 gvfs-afc-volume     2659         63         63         62         62       0.996  21                  
            perf    37927         62         62         61         61       0.980  13                  
    avahi-daemon    23584        119        119        118         42       0.675  0,2,18,4            
 GUsbEventThread    23982         31         31         30         30       0.482  0,22                
           fwupd    23972         26         26         25         25       0.402  8,4,14              
  wpa_supplicant     1019         46         41         40         21       0.337  16,12,14            
  NetworkManager    23283         34         34         33         14       0.225  0,8,19              
           gmain     2409         15         15         14         14       0.225  22                  
           gmain     1009         15         15         14         14       0.225  20,21               
           gmain    23973         15         15         14         14       0.225  23                  
           gmain     2885         15         15         14         14       0.225  16,17,12            
           gmain     2927         15         15         14         14       0.225  25                  
           gmain     2971         15         15         14         14       0.225  4                   
   KittyChildMon     4242         14         14         14         10       0.161  16,17               
    rtkit-daemon     1204          9          9          8          8       0.129  8,16,10             
 io-net-cpu-benc    37926         28          7          7          7       0.112  8,0,10,6            
         geoclue     2603         32         32         31          6       0.096  8,16,6              
      khugepaged      249          6          6          5          5       0.080  16,18               
 io-net-cpu-benc    37948         14          2          2          2       0.032  4                   
 io-net-cpu-benc    37928         14          2          2          2       0.032  15                  
 io-net-cpu-benc    37933         14          2          2          2       0.032  12                  
 io-net-cpu-benc    37938         14          2          2          2       0.032  0                   
 io-net-cpu-benc    37943         14          2          2          2       0.032  10,6                
 systemd-journal    10602          2          2          1          1       0.016  2                   
 tracker-miner-f     2966          2          2          1          1       0.016  25                  
         upowerd     1409          2          2          1          1       0.016  8,9                 
 kworker/u65:1-i     1085        136        136        136          0       0.000  0,2,4,6,8,16,17,18  
            atop    33660          2          0          0          0       0.000  8                   
    rtkit-daemon     1205          9          9          8          0       0.000  12                  
 kworker/u64:1-e    33993          2          2          2          0       0.000  10,6                
 kworker/u64:5-e    35639          2          2          2          0       0.000  17,10               
       gsd-color     2708          2          1          0          0       0.000  23                  
  gnome-calendar     3490          1          1          0          0       0.000  25                  
            cron    22602          1          1          0          0       0.000  14                  
         swapper        0        605        606          1          0       0.000  0                   
     ksoftirqd/0       15          1          1          0          0       0.000  0                   
 evolution-alarm     2758          1          1          0          0       0.000  24                  
 systemd-timesyn    21102          3          2          0          0       0.000  8                   
 gsd-housekeepin     2711          1          1          0          0       0.000  21                  
 kworker/u64:3-f    37775          1          1          1          0       0.000  9                   
      khungtaskd      244          1          1          0          0       0.000  17                  
         systemd        1          1          1          0          0       0.000  1                   

