TimerType      Callback         Expires
HRTimer        tick_sched_timer              57782
HRTimer        napi_watchdog                 19404
HRTimer        hrtimer_wakeup                10300
HRTimer        watchdog_timer_fn             504
HRTimer        sched_rt_period_timer         26
HRTimer        intel_uncore_fw_release_timer 20
HRTimer        timerfd_tmrproc               10
HRTimer        it_real_fn                    1
KernelTimer    process_timeout               2594
KernelTimer    delayed_work_timer_fn         1662
KernelTimer    fq_flush_timeout              1206
KernelTimer    tcp_write_timer               493
KernelTimer    tcp_orphan_update             350
KernelTimer    tcp_delack_timer              258
KernelTimer    blk_stat_timer_fn             148
KernelTimer    mix_interrupt_randomness      87
KernelTimer    writeout_period               59
KernelTimer    neigh_timer_handler           12
KernelTimer    dev_watchdog                  12
KernelTimer    blk_rq_timed_out_timer        7
KernelTimer    tw_timer_handler              3
KernelTimer    commit_timeout                3
KernelTimer    fib6_gc_timer_cb              2
KernelTimer    idle_worker_timeout           1
